א	איני יכול לצמצם עצמי בעניין אחד, וצריך אני לינוק מהאות המיוחדת לי בתורה, ולאחד את כל שטפי האור.
קצז	כל החולשות הגופניות והנפשיות נגרמות על-ידי מעשים רעים, המחשיכים את אור הנשמה ומביאים לקליטת רשמים זרים.
קצח	מציאת נשמת ישראל, שהיא מקור התורה, את עצמיותה, תביא להתנוצצות אותיותיה.
קצט	התפילה מבססת את חיי העולם שבתורה כתכונה טבעית, כדי שחיי הנס המתגלים בתורה לא יהיו טרחה כלפי שמיא.
ר	כשמסבירים עניינים גדולים על-ידי קטנים, ובייחוד מציאות עולמית על-ידי נפשית, מגדילים את הקטנים ולא ההפך.
רא	מניעת התשובה מהרשעים הגמורים נועדה לכלותם כשתימלא סאתם, כדי ליצור מהחומר שלהם יצירה חדשה.
רב	האגואיזם שבהתענגות על ה' נקי מכל פסול, וכשמגיעים למעלה זו מכירים באפסות הרע, אך לשם כך צריכים את המצוות המעשיות.
רג	מחשבת ישראל משתפלת עד לקידוש הגוף ועילוי הממלכה, בניגוד לנצרות שזלזלה בדברי חכמים, ובעטה בקידוש הגוף והחומר.
רד	אהבת ה' עליונה הופכת לקנאה פועלת, הדוחה עירוב זר וגוברת על המוות, והיא שרויה בישראל ומתגלה ביחידיה.
רה	התפילה נובעת מהבינה העליונה שלמעלה מהמחשבה ומיכולת הביטוי, ורק בקדושת הדממה יונקים ממנה.
רו	אם יתפוס אדם את כל הרוחניות המתגלה בעולם, עדיין רחוק הוא מלעמוד על עיקרה של תורה, שהיא שעשועי האלוהות העצמיים.
רז	הכפירה האפיקורסית הבאה ממיעוט החיים, באה לכלות את האמונה המעוותת (נצרות) הקשה ממנה והמרה מן המוות.
רח	הכפירה האפיקורסית הנה שלילית ומתה, ולכן אפשר ללבות את נקודת חיותה ולהצילה, אך את עיוות האמונה החיובי יש למחות.
רט	הכפירה והמינות השרישו את זוהמתם בתרבויות הרשע, והצורך לאבדן אינו סותר את אהבת האדם מצד צלם א-להים שבו.
רי	שמחת העולם הנה חיצונית, אבל ברז ההוויה הפנימית יש בכיה תמידית על גלות ישראל, והתנחומים באים מפנים-הפנימיות.
ריא	קדושת המחשבה שבמקדש מתפשטת בארץ ישראל, שמידתה היא קדושת הדיבור, ועל-ידי הציפייה אליה היא מתנוצצת גם בחוץ-לארץ, שמידתו היא ערך המעשה.
ריב	מי שהוא ממידת המלכות, מוכן בשפלותו לספוג את כל הטוב ולהופכו לחלק ממנו, ומשתוקק באמת לארץ ישראל.
ריג	כל מה שיש בו משום עבודה זרה, אף שבחיצוניותו יש נוי רוחני, פנימיותו ארס משחית.
ריד	האדם צריך להיחלץ מאנוכיותו ולחשוב על הכלל, בעולם, באדם ובישראל.
רטו	העצבות מגלה את חסרונות הנפש ומורה על המקומות אותם יש לתקן, ולכן אין להירתע מפניה.
רטז	יש לקוות לשפלות פנימית אמיתית, שאינה מחלישה את גבורת הנפש ושמחתה הפנימית, אלא מחזקתן.
ריז	אין לירא מטעימת טעם מר בהגיון רזי תורה, אלא להוסיף שקידה ודבקות, והמר יהפוך למתוק.
ריח	היצר המתגבר בכל יום מחדש, סולל דרך להעלות את הימים באור החיים העליונים.
ריט	שימוש בדוגמאות והקבלות בעניינים רוחניים מחייה ומאיר אותם, אף-על-פי שאין הדבר ניכר כלפי חוץ.
רכ	כשהיצר הרע מתגבר כנגד כל התגברות בעבודת ה', אין להתחרט עליה אלא להוסיף גבורה, שכל הכשלונות הנן בכלל "טעה בדבר מצווה".
רכא	הרשלנות מלהכיר את מושגי האלוהות במושגי העולם הפנימי, היא סעיף עבודה זרה, ותיקונה בהכרת קלישות תפיסתנו לעומת עצם ההשגות.
רכב	יראתם של ישראל דורשת קישור למצוות מעשיות, ואילו היראה המתאימה לגויים דורשת ניתוק מהן.
רכג	הרגשת ערך התפילה הנה גילוי נקודת הצדיקות שבאדם, וגילויי הרצון וקישורו למרומי הקודש מסדרים את המציאות לטובה.
רכד	הכרת ערך החול והאנושות מרוממת את הכרת הקודש וישראל.
רכה	כדי לתקן את פגימת העצמיות בנפש ובעולם, צריך להתעמק ברזי תורה בקביעות המביאה לדבקות תדירית.
רכו	בגלות דולים אור מתוך החושך במרירות, עבדות וחרדה, שבתוכה מאיר אור חסד עליון, העתיד להתגלות בשיבת ציון.
רכז	הפלפול נובע מעצמיות ישראל ומתשוקתם להשתעשע במקור חייהם, והוא מחזק את חייהם וכוחם העצמי.
רכח	הפלפול נובע מקביעות בתורה ובשעשועיה, ואף שאינו אמת מבחינה מעשית, הנו אמת מצד בהירותו המוסרית ויופיו.
רכט	כשם שאתערותא תתאה של הנפש מביאה אתערותא עילאה, כך הוא הדבר בכל דיבור ותנועה במציאות העולמית.
רל	צריך להתרגל לראות בכל חזיון קדושה את העלאתו את החול, ולא את סתירתו אותו.
רלא	היראה וכל פרטיה מוכרחים להיות מחוברים עם החכמה וכל פרטיה, ומחיבורם מאירה נשמת האדם.
רלב	העולם הרוחני מתחלק לארבע פלוגות: העולם המקבל, המשפיע, בעל אוצרות ההשפעה, ומקור אוצרות ההשפעה.
רלג	דורשי ה'  אינם חסרים דבר, ומֵרִווּיָם הפנימי מתרווה כל העולם בשפע ברכה.
רלד	כשם ששכר המצווה הגדול ביותר הוא המצווה עצמה, כך עונג התפילה גדול מעונג התגשמותה וקיום מבוקשה.
רלה	ההליכה בדרך האמצע בעולם המעשה, אינה סותרת את הקיצוניות של המחשבה, ולא עוד אלא שהיא מתחייבת ממנה.
רלו	הציורים המדולדלים שבאמונה מחלישים את הכוחות הגשמיים והרוחניים, והתקנה היחידה לכך היא להתעמק בפנימיות התורה.
רלז	הטוב והרע המוסריים עלולים להתערב, אך יסודם העליון אינו מתערב, ולכן האמונה והקדושה היסודיים, גדולים מכל תוכן מוסרי.
רלח	גם כשאין משיגים את סיבות הדברים, עצם ההשערה בונה עולמות רוחניים בנשמה, שייעשו להכרה ודאית בזיקוק השכל.
רלט	ההכרה הפנימית שבתוכיות האדם, והחיצונית השכלית, משכללות יחד את בינת האדם ורצונו.
רמ	מי שאינו מוכשר לישוב העולם מפני שחלקו בצפיות עליונות, יאהב את העולם והבריות, ובזה יתיישב העולם על-ידו.
רמא	אהבת הבריות שאינה באה מתוך אהבת ישראל, נובעת מחולשה איכותית המתגלה כהרחבה כמותית, ומאהבה עצמית גסה.
רמב	כשמרגיש את חסרונותיו יתבונן בכך, שכל הטוב שבו אינו נפגם מחסרונותיו, ובשעת הגאווה יתבונן בעיכובם את מעלותיו.
רמג	קדושת ישראל והדבקות האלוהית צריכות להיות מרוצפות באהבת הבריות, אך יש להיזהר מן התכנים הזרים שבנפשות השונות.
רמד	תפקידה של הרשעה הוא להתסיס, לחזק את הרצון ולהעמיק את החיים, וכשישוכלל העולם הרשעה תכלה.
רמה	נשמות הצדיקים מחדשות את העולם עוד בטרם יצאו לאוויר העולם.
רמו	כשנשמת האדם מתעלה, הוא מרגיש את ערך הדיבור ופעולתו בעולם.
רמז	ההפשטה הרוחנית אינה צריכה לטשטש את המוחש והמורגש, אלא לעדנם, ולעמוד כנגדם שלא יטשטשו את האור הרוחני.
רמח	האור המקיף המאיר לאומות העולם וחוץ-לארץ, עתיד להתאחד ולהיכלל באור הפנימי של ישראל וארץ ישראל.
רמט	רק אטימות הגוף ופירוד הנפש מונעים מלהתעדן באושר העתיד, הקיים בהווה, ושכל מה שחוץ לו אינו נחשב.
רנ	כשיראת העונש מתרחבת, היא עצמה עונש וייסורים, אך יש בה טוב, שכן היא ממרקת את האדם ונעשית בסיס ליראת הרוממות.
רנא	ישראל פותחים חלונות נסיים בטבע, ובכך מוחים את עמלק האחוז בו, ובעתיד הטבע לא יחצוץ כלל בעד האור, והמוות יחדל.
רנב	ישראל מתקנים את הפנימיות והאומות מתקנות את החיצוניות, ואילו עמלק הוא הפך מגמת הקודש, ויש למחותו.
רנג	כשאדם מדלג מדרגות, את דרגתו הוא מאבד ואל העליונות אינו מגיע, ועליו לשוב למדרגתו מבלי לעזוב את רושם העליונות.
רנד	הסחת הדעת מהרע שבנפש, במקום לתקנו, מביאה לגאווה, והטיפול בו להופכו לטוב, מביא לענווה.
רנה	לכל עולם יש סדרים והגיונות שונים מחבירו, ואין להיבהל מסתירה ביניהם.
רנו	לפעמים הסדרים המעשיים הנובעים ממקור עליון, מתעלים על-ידי חופש הרעיון, ולפעמים הם בונים את היכלי הרוח.
רנז	לגבי משה, כל העולמות הרוחניים התלויים בעולם הזה, הנם טפלים לתיקון הנצחי, ואילו יעקב מקושר לעולם, וביתו מתפרנס מבית משה.
רנח	לפעמים טוב לשכוח את העוונות, כדי להוסיף שמחה במעשיו, וכנגדו הם נשכחים אצל ה', וזכרון הטוב נכפל.
רנט	כשמסיחים את הדעת מהשכל הפשוט, סובלים ממיעוט הופעה בשכל העליון כי הראשית והאחרית נעוצות זו בזו.
רס	כשעושה מעשה טוב שלא לשם שמים, אל יצטער על המעשה, אלא ישאב ממנו אומץ לתיקון המחשבה.
רסא	בעלי הסוד צריכים למעט בעסקי העולם ולהתרכז במקצועם, אך השקפתם עליהם בשיעור קטן, כחומט בתבואה, מברכת את תורתם.
רסב	כשהגוף חלש, השכל נוטה לעניינים מופשטים, וחיזוקו, ובירור התכנים הקשורים בחושיו, מבהירים את הרעיונות המופשטים.
רסג	אוהבים אנו את הטוב ושונאים את הרע, ומרחמים אנו על העורגים אל הטוב אך נתונים ברשת הרע, והצדיקים פודים אותם.
רסד	אי-אפשר לנצח את הרע כשנמצאים אתו במחשכים, אלא צריך לעלות ולעסוק בתורה דלעילא.
רסה	חטא נדב ואביהוא – עקירת דייקנות המעשים מתוך סערת ההופעה העליונה – מיתַקן במזיגת שתי התכונות, הנעשית על-ידי אליהו.
רסו	חשיבה המיסטית עלולה לפגוע בבינה הטבעית, אך עקירתה עוקרת את ההיגיון מההסתכלות הכללית, ויש לאחוז בה במידה ראויה.
רסז	הצדיקים שקדושתם מאירה, מבחינים בכל דעה את מסקנותיה הרחוקות, ומכירים בזוהמה המידמה לטוב, ובטוב הגנוז ברע.
רסח	כשעוסקים בחיובים ואין עוסקים במקורם, הקישור אליהם נעשה רפה וכהה, ולכן גאולת הכלל והפרט תלויה בלימוד רזי תורה.
רסט	החולשה שמרגישים כשמתרוממים למאוויים רמים, נרפאת בהבנה שהצדדים הרפויים הם שנחלשים.
רע	כשיראתו של אדם מתגברת, עת רצון היא לו ולעולם, ואל ייבהל מהעצבות הנלווית אליה, אלא יתגבר לזקקה.
רעא	כשהנשמה משתלהבת, אפילו כהרף עין, יש לשמוח בה, שכן ערכה רב, והירידה שאחריה היא רגעית, ונובעת משלטון השקר בעולם.
רעב	כשיראתו החיצונית מתגברת, צריך להחליפה ביראה של בושה וממנה לעלות ליראת הרוממות, ובכך מתעלים לאהבה.
רעג	יחוד שורש הנהגת ה' מצד העניינים האידיאליים (הקב"ה) וגילוייו המעשיים (מלכות), מופיעה הטהרה בעולם והטומאה מתבערת.
רעד	נשמת ישראל הנובעת מאור א-להים פנימי, התכוננה במלכות דוד, וכשהוכרה בשלמותה הגיע עת בניין המקדש של שלמה.
רעה	צינון הגיהנם שנעשה על-ידי קריאת שמע, אינו רק הקלת עונש, כי-אם שכר עצום, כעין הפיכת הגיהנם לעדן שתהיה בעתיד.
רעו	במחשבות הכלליות מתגלה הנועם של העולם הבא, והוא שורה בשלום העולם הזה, המתגלה על-ידי פרטי התורה והמוסר.
רעז	כשאי-אפשר להיטיב את המידות והמעשים כרצונו, מפני השאור שבעיסה, צריך לעלות בדרך הדבקות והמחשבה העליונה.
רעח	הקישור בין המוסר הכללי והנפשי נשגב מהפילוסופיה, והוא מתנוצץ מסוד ה' ליראיו.
רעט	קטרוג שרי אומות העולם מצטרף לקטרוג הרע הכללי מבלי להבחין בתשוקתו לכליון העולם, ובתפילת הצדיקים הם נפרדים ממנו והופכים למליצי יושר.
רפ	חיפוש הרוח הפנימי אחר מקורו העצמי, זורֶה הלאה גם טוב חיצוני העומד על דרכו, אך סופו לעמוד על אמיתתו הפנימית.
רפא	בארץ ישראל אפשר להניח לשכל לפעול במנוחה, והמחשבות תימצאנה מאירות באותיות התורה, ובחוץ-לארץ המחשבות מוכרחות להיבנות מהאותיות.
רפב	המחשבה הגלויה היא תוצאה של המחשבה הגנוזה, וישראל ששורשם באמונה, אין למחשבותיהם הרעות שורש, ואינן מצטרפות למעשה.
רפג	האומות יכולות לחקות את ישראל בצורה קלושה, רק בצד הסימבולי והנגלה של המצוות, אך לא מצד פעולותיהן הסגוליות.
רפד	הילדות הטהורה סופגת בקרבה את חפץ החיים בטהרתו, והבעת הקודש שלה מכשירה את החיים העולמיים לתפקידם.
רפה	הדמיון בעצלותו עלול להטעות, לראות הארה רוחנית כנטע זר ולגרום לדחייתה, וצריך לברר היטב, ולדחות רק את הזר והמשחית.
רפו	כשם שההשכלה האלוהית ממלאת את כל החיים בהשקפותיה המיוחדות, כך אורחותיה הרגשיים והמעשיים מעלים את החיים כפי גובהה.
רפז	המצוות הן האדם העליון, כלומר המהות של היש הרוחני ברום מגמתו, ואורח החיים שלהן הנו החיים האידיאליים של היש כולו.
רפח	חטא הארץ הוא שורש לכל הנטיות ההפוכות לשלמות ההוויה, ותפקיד איסורי התורה והמוסר הטבעי להפריש את האדם מהן.
רפט	רוח הקודש הבאה מהעולם החיצוני, מעורבת בטומאה, והבאה מפנימיות היש היא זכה, אך כדי לנצח את הרע צריך להתאימן.
רצ	בישראל, המשפט הממוני וכל ערכי החיים הנם דרישת א-להים, ומכאן חשיבות הסמיכה, שקוממה כנגדה את הרשעה היוונית.
רצא	קנאת הקודש הטבועה בישראל, לכלול בקדושה את כל ההוויה, מתגלה על-ידי אליהו והמשיח.
