א	חכמת הקודש מהפכת את הרצון ואת תכונת הנפש של לומדיה, ואינה רק מציירת את הקיים במציאות.
ריח	בהשערת הדמיון מתגלים דברים הנשגבים מהשכל, אך יש להבחין בין הכרה להשערה, וכך יתבררו ההשערות, והשערות חדשות תופענה.
רכג	השכל הנו תלמיד קטן המבאר את מקצת האור שבדמיון, המתאחד עם השכל העליון, שאינו שכל כלל.
רכה	הדמיון מחייה את העולם הרוחני יותר מהשכל, והתרבות וההשכלה המודרניות מטשטשות אותו, ובזה ניכרת ירידת הדורות.
רכו	חלומות הנביאים, המשוררים, מתקני העולם וישראל המצפים לישועה, מפיחים רוח חיים בעולם המתייסר מגבולותיו וחסרונותיו.
רכז	הדמיון הוא אספקלריה של המציאות, ובצירופו לדייקנות השכל הוא מאיר את העולם, ומהווה מקור לשירתו.
רכט	שורש השכל בדמיון, וכשם שהמחשבה העליונה מתפשטת על כל ההוויה, כך הדמיון מתפשט מראשית הנבואה עד תעתועי הדמיון.
רל	בשינה מקבלים אורות עליונים למעלה מהשכל, וכוחות חיים ממעמקי הגוף, ובטהרת הגוף שבבוקר, מקשרים אותם אלו לאלו.
רלא	כשכוח המדמה בא בטהרה, הוא מצייר ציורים עליונים יותר מהשכל.
רלא2	כוח המדמה הוא הכסא שאור החכמה והחיים העליונים שורה עליו.
רלב	הדמיון מלביש את השכל ומהדרו כל עוד אינו יתר עליו, כשם שהנס מהדר את הטבע, כשהוא בטל אליו.
רלב2	הדמיון שיסודו בקדושה, כשחותם השכל עליו, יתעלה לשורשו שבמקור החכמה העליונה.
רלג	הדמיון הוא עולם מלא בפני עצמו, והתאחדותו עם השכל הנה רק תוספת ברכה, ובאיחודם הם מתאחדים עם שורשם העליון.
רלג2	הבריאות המדעית באה ממיזוג הגון של השכל והדמיון, ומתסיסתם מתחדשים ענפי המדע, והנטיה לאחד מהצדדים הורסת אותה.
רלד	הדמיון נוטה לתקלה, וצריך להדרכת השכל, אצל הגדולים באופן ישיר, ואצל הבינוניים דרך הרגש והחיים. השכל הראוי להדריך את הדמיון הוא השכל האלוהי, מקור הנבואה ורוח הקודש.
רלה	אין לזלזל בערך הדמיון לעומת ערך השכל, שכן שניהם רק צל המהות העליונה, והדמיון הטהור מהדר את האמונה השכלית.
רלז	יש דמיון שהוא צל של השכל, ויש דמיון המקבל הופעות הגבוהות מן השכל.
רלז2	דמיון של חול אינו אלא צל בלבד, והשקיעה בו מביאה ייסורים וספקות, והרפואה לכך אינה בהחלשתו, אלא בעילויו.
רלח	הדמיון מכיר לאדם את מה שמחוץ לו, והשכל את מה שרכש בפנימיותו.
רלט	השכל התחתון, ההולך מלמטה למעלה, תופס את הדמיון כהשכלה בלתי-בשלה, אבל השכל העליון, מכיר באחדותם האורגנית.
רמ	לפעמים באים מהדר הדמיון אל אמיתת השכל, ולפעמים להפך, ובלבד ששאיפת תהיה להתאחד עם השכל.
רמ2	על-ידי טהרת המידות וההארה השכלית בתורה ובשימוש חכמים – הדמיון מתברר ונעשה לשכל, ועומק הרגשתו עולה על השכל.
רמא	לפעמים מתחילים מהדמיון אל השכל ומה שמעליו, ולפעמים מהשכל ומה שמעליו אל הדמיון, ולפעמים בשניהם כאחד.
רמב	כשהקדושה מתגברת, השכל משפיע על הדמיון מקווי זוהרו, והדמיון על השכל מקרני הודו.
רמג	ההוויה ערוכה בסדר של השתוות בין עולמות עליונים ותחתונים, אך רק על-ידי הבחנה ביניהם יכולים להכיר בכך.
רמג2	הצער הרוחני בא מחוסר התאמה של הרגש ונטיות הטבע, עם השכל ומה שמעליו, והנשמה דואגת להתאים ביניהם.
רמז	בחינוך הפרט והכלל צריך לשים לב לאחדות בין השכל, הרגש, הדמיון והמעשה, שלא יסתרו זה את זה.
רמח	כמו בכימיה כך בקדושה, ניתן ליצור יצירה חדשה מיסודות שונים בקודש.
רמח2	סדר התיקון הוא – גוף, דמיון, רגש, שכל, הקשבה להתנוצצות רוח הקודש. אותו הסדר נכון גם לגבי תהליך תיקון האומה בתקופות השונות.
רמט	המעשים הופכים לדמיונות, להרגשות ולהשכלות, על-ידי עיכול רוחני.
רמט2	צריך לאחד ולאזן את השכל עם הרגש.
רנ	השכל הבריא המקורי מורכב מהשכל המזין והרגש המענג, והעוסק בתורה לשמה מתברך באחדותם והשלמתם זה את זה.
רנ2	עדן ההכרה גדול באיכות, ועדן ההרגשה הנפשית גדול בעומקו ובחדירתו, ובעילוי הנשמה מתרכבים שניהם.
רנא	ברגש, האמרה "אלוהים" מלאה תנובה, אך אסור לבלבל בין תפקיד הרגש לשכל, הדורש עיבוד והכנה.
רנב	הרגש כלול בשכל כמדרגה תחתונה, אך בצאתו אל הפועל הוא קובע לעצמו תחום עצמאי, כיחס שם הוויה ושם אדנות.
רנב2	התפילה, המצוות והמוסר, מופנים לתיקון הרגש ולא לשכל, אלא שהרגש כלול בתחתית השכל.
רנג	חטא הלבנה הוא הרצון של הרגש לשלוט כשכל, והתיקון הוא מיזוג של השכל עם הרגש במידה ובמשקל.
רנה	יחס הרגש והשכל כיחס הגוף והנשמה, וכיחס הכמות והאיכות, והשכל הנצחי מחדש את הרגש ומחייהו ככלות כוחו.
רנו	שלמות השכל והרצון אינה מתגלה בריבוי פרטיהם, אלא באחדותם ובאיחודם זה בזה, ובשלמותם הם משפיעים על כל העולם.
רנח	ההשגות הבאות בהתגלות עולמות שלמים, מושגות רק באחדות השכל והרצון, ובדרגה זו כוונה טובה מצטרפת למעשה לגמרי.
רנט	השכל והמידות הם גילויי הרצון, שהוא גילוי המהות הרוחנית, ורק תשובה המתקנת את המהות הרוחנית, תביא להארת כל ענפיה.
רס	שורש הדעת והרצון מאוחדים ותלויים זה בזה, ולכן תיקון המעשים המשפיע על הרצון, הכרחי להארת הדעת של סתרי תורה.
רס2	השכל האנושי נמוך מהרצון העצמי המגלה את מהות הנפש, אך השכל הקדוש עמוק ממנו, מפני שהוא מקור הרצונות.
רסא	אף שחיי ההתבוננות הם העליונים, העונג שבהם מוחש רק על-ידי הדמיון, הזקוק למידות ולמעשים כדי לשמרו.
רסא2	הדמיון האנושי עולה כלפי מעלה, והעלייה השכלית ממשיכה דמיונות נשגבים כלפי מטה, ופגישתם ההרמונית מהווה עונג אצילי. את סיגי הרצון והדמיון צריך לזרוק, והשאר מתקדש.
רסב	החכמות היותר עליונות מונחות בעומק הטבע, הרצון והדמיון, וכשתגיע ההכרה לאותו העומק, תוכל להעלותם ולהתעלות על-ידם.
רסב2	עזוז הדמיון הוא מתת אלוהים, ובהיותו מחובר לגדולת השכל, עומק המוסר, וטבעיות הרגש, הוא מביא לרוח הקודש.
רסג	בשכל החילוני – השכל, הרגש, הדמיון והמעשה, הנם כוחות נפרדים, ובהשגת הקודש – הנם אגודים ומאוחדים.
רסז	יש רוח הקודש של מעשה, ויש של דמיון, ויש של שכל, ורוח הקודש העליונה כוללת את כולן.
רסח	צריך לחבר את רוח הקודש עם השכל הטהור.
רסח2	כשמתרגל לשמוע מכל דבר את דבר ה', ישמענה גם, ובעיקר, מהשכל, אף שדרכו לכסות על דברים על-שכליים.
רסט	רק על-ידי רוח הקודש אפשר להגיע להכרה בחיים האלוהיים שבקודש ובחול.
רע	אף שנבואה היא רוח הקודש בשלה ומפותחת, ישנן מעלות שבאו לידי פיתוח דווקא אצל בעלי רוח הקודש ("כתובים").
רעא	השפעת הנבואה חזקה ורגעית, ואינה מחלישה את הגוף, ואילו השפעת התורה קבועה, אך פחותה ומחלישה את הגוף.
רעב	החכמה, המסתכלת על המציאות מבחוץ, והנבואה, המעורה עמה ופועלת עליה באופן ניסי, אורגים ביחד את שמלת האור הגדולה.
רעג	הדעת בגדולתה היא יוצרת ובוראת, ורק בקטנותה היא צריכה להתלבש ב"עבודת כפיים", והצדיקים משיבים את עטרת גדולתה.
רעד	עולם הרעיונות מתחלק לרעיונות קבועים (נצח), ולרעיונות מתנודדים ומשתנים (הוד), ואין אחד מהם מתגלה בלא צירוף חברו.
רעה	הברקות התורה תדירות ובהירות, ושל הנבואה בהירות אך אינן תדירות, ושל השכל תדירות אך אינן בהירות, ומאיחודן מסתגננים החיים.
רעו	בעלי הנגלה (המלך) ובעלי הנסתר (הנביא) שופטים את המציאות לפי תחום עולמם, וזוהי אספקלריה שאינה מאירה.
רעז	שלוש מידות ישנם במחשבה, הדורשות כשרונות שונים: נעלמת ובלתי-מצוירת, מצוירת באופן כללי, ומצוירת בענפיה ופרטיה. אף שכל אחת מהן דורשת כשרון מיוחד, באספקלריא מאירה נכללות כל המידות במידה העליונה.
רעח	ההתעמקות בנשגב (נבואה) עלולה להביא להזנחת העולם הממשי בידי הרשעים, ובלימוד התורה לשמה מואר העולם בכל חלקיו.
רעט	באספקלריא המאירה כוחות הגוף אמנם אינם מתבטלים, אך מקצתם נשארים במעמדם, ובזיהרא עילאה מתעלה הגופניות כולה.
רפ	בהרגשת הבשר יש ניצוצות דמיון, ובתוכם ניצוצות שכל, ובתוכם רוח הקודש… נבואה… זיהרא דאדם הראשון… ואור תחיית המתים.
רפא	הדמיון המואר משם אדנות, יונק מהשכל המואר משם הוויה, היונק מהופעת הקודש המוארת משם א-היה, ובאיחודם מתייצב עולם מלא.
