א	איחוד ההלכה והאגדה יביא להפריה והשלמה הדדית, וישפיע אחדות והרמוניה בתחומים רבים.
קצא	ככל שהאורה האלוהית מתפשטת בעצמיות החיים, על-ידי סדרי חיים ורגשות קדושים, נעשית האמונה ברורה וודאית יותר.
קצב	נשמות הצדיקים נקשרות בגוף בעל-כורחן, ונשמות הרשעים מרצון, ותשוקתם לחומר עתידה להתהפך לטובה  עם כל עוצמתה.
קצג	הסליחה העליונה באה ממקור החס העליון, השולל את הרע ועם זה מכיר בייעודו, וזהו סוד השעיר לעזאזל.
קצד	צריך לעורר את תחיית ישראל בכל כוחות האומה, העתידים לפרוח בארץ ישראל ויונקים ממנה את כוחם.
קצה	מידת החסד שואפת לרומם את ההמון, אך כדי שלא תיפגע מגסותו, עליה לזעוף ולמחות על פגמיו.
קצו	ייחוד התורה לעומת התרבות מעיד על ייחודם של ישראל לעומת העמים, שרק אחרי ההכרה בייחודם באה תועלת מהכרת אחדותם.
קצז	כשם שהשקר זקוק לקצת אמת כדי להתקיים, כך השכל האנושי מוצא גרגרי אמת בשקריו, וכשתתגלה האמת היא תופיע גם בהם.
קצח	ראיית החול והקודש כיסוד ובניין, שגויה, וראייתם כאחדות אורגנית אף מזיקה, והאמת היא שהחול יכול לשמש רק כמשל לקודש.
קצט	חולשת הדעת הבאה מפעולותיהם החיוביות של עוזבי תורה, מתרפאת בהכרה ששומרי האמונים הם הנותנים כוח לכל המפעלים.
ר	יופי, ושלום בין הפכים, הנובעים מיסוד השכחה – הופכים לרועץ, ורזי תורה הנובעים מהזיכרון – מביאים ליופי וריבוי גוונים.
רא	כשם שעומק הרע העולמי, מגלה את עומק הטוב, כך גודל ייסורי היוצרים, מכשיר את גילוי הנועם שבהם, וידיעה זו ממתיקתם.
רב	קדושת ארץ ישראל הנקלטת בנשמה, אינה פוקעת בחוץ-לארץ, והזרות שמרגישים שם מעמיקה את ציפיית הגאולה בציבור כולו.
רג	הציור של קדמות העולם נובע משליטת הכוח המדמה החיצוני על הדעת, במקום להיות לה ללבוש.
רד	קריאתם של ישראל בשם ה' תלויה בזיכוך מידותיהם וטהרתם הנפשית והגופנית.
רה	תורת הרזים מבססת את היסוד המעשי, בניגוד לנצרות העוקרת אותו.
רו	השכחה השרויה ביסוד האמונה התחתונה, מזקיקתה לחידוש רשמים תדירי, וכפי זיכוכה מתבטלת ממנה השכחה, אך נשאר בה עונג ההתחדשות.
רז	הצימאון לאמונה בא מעומק הנפש, והוא עלול להתלבש בתאוות, ולכן האמונה אינה מתגלה בשווה לכל, והתורה מעדנת את הנפש ומעלה את הצימאון לשורשו.
רח	בהירות המחשבה תלויה בטהרת מקבליה, ולכן הרב יכול לינוק בחזרה מתלמידו המזוכך ממנו את אותן מחשבות ביתר בהירות.
רט	שורש עבודה זרה בתשוקת קרבת ה' שנפלה בירידת האדם, ובעלייתו היא מתעלה עמו, והאמונה מתבררת מסיגיה.
רי	כל המעשים אחוזים בשורש הדעה, וגזיזת הענפים בהתגברות השורש (קרחת), והתגברות הענפים (פרע), מוסיפים יופי בהיפגשם.
ריא	הדברים הבטלים יונקים מרוח עכורה, המזהמת את הנפש והעולם, ולכן בורחים ממנה כל המעמיקים בקדושה.
ריב	ההכרות הסובייקטיביות מגשרות בין עולמו המצומצם של האדם לעולם החירות, וגם כשהן לוחצות אותו אל יעזבן.
ריג	בין האומות השונות קיימים יחסים חברותיים, אך ישראל מפני מעלתם אינם יכולים להתחבר עמם, והם מתחברים עם המלאכים.
ריד	הריליגיוזיות הטבעית יש בה מזוהמת עבודה זרה, והיא נטהרת על-ידי מחויבותה למעשים אלוהיים, ושבה להאיר את הנפש.
רטו	לפעמים חכמה אחת מאירה פריטם של חכמה נמוכה ממנה, בדרכים שונות לגמרי מדרכי ההארה של החכמה הנמוכה לענפיה.
רטז	הרצון הפונה לאלוהות, המנותק ממחשבת האלוהות ואורחותיה המעשיות, נופל בעומק רע, וישראל מזקקים רצון זה בעבודתם.
ריז	כל מה שעובר על האדם, עובר על הכלל ועל העליונים, ואפשר ללמוד מעצמו עליהם, ובהתעלות האדם דאגתו נתונה עליהם.
ריח	במרכז כל רגש ושכל כללי ישנו רגש ושכל ישראלי, ואיחודם נעשה באיחוד המרכזים, או באיחוד התכנים כשבתוכם המרכזים.
ריט	התיאוריה של התפתחות העולם מרוממת את האמונה בהשגחת ה' על הבריאה מראשיתה עד אחריתה.
רכ	אחדות הרוחניות מביאה להעדפת ההכרה הטבעית על-פני ההתלמדות החיצונית, ואת ההשוויה והשלום על ההבדלה והמלחמה.
רכא	המחשבה, הרצון, והמציאות הממשית – מאוחדים ומשקפים זה את זה (כספקטרום את החומר), ובעילוי אחד מהם מתעלים כולם.
רכב	רוח ישראל שואף להתפשט בכל, ולפיכך צרה בעדו המסגרת האנושית, והוא דורש מוסר אלוהי ותורה שמימית.
רכג	צמצום השפעת רוח ישראל בגלות נועד להתעמקותו העצמית, כאילן המעמיק את שורשיו.
רכד	בכל משפיע ומקבל – הדרגה התחתונה ברוכה בעוצמתה והעליונה מעוטרת בהסתעפויותיה, ובאור היסודי מתאחדים העוז וההדר.
רכה	העמקת השורש מביאה ברכה לענפים, ולכן יש להתעמק ביראת שמים שהיא שורש כל המחשבות והמעשים, וממנה יתברכו כולם.
רכו	יש לכבד את תמימות היחיד והציבור, משום שבה חודר האור האלוהי בלא הגבלת השכל, והשכל רק מעדנו.
רכז	בכל אחד יש קורטוב צדיקות, המידמָה ליוצרה ברצונה, וביכולתה לברוא עולמות ולהחיות מתים, והיא עיקרו של האדם.
רכח	העדפת הרמב"ם את אריסטו הרציונאלי על אפלטון החזיוני, באה כתיקון לעבודה-זרה, אך הוא השאיר פתחים לחזיוניות הקרובה לנבואה.
רכט	התפילה מרוממת את הרצון, ומוסיפה תוכן חדש בעולם, ותפילה הנוגדת את תוכן התורה מזהמת את החיים.
רל	התשובה מורה, שעיקר המעשים הוא התמצית הרוחנית שבהם, ותיקון הרוחניות מתקן את סדרי העולם המעשי.
רלא	מדרגות הוודאות שונות, והאמונה מתפשטת מהוודאות המוחלטת העליונה, עד העולם המעשי הנמוך.
רלב	אלמלא נברא המוות היתה האנושות ממציאה אותו, כדי להתחדש, ובתיקון העולם ייעשה החידוש מחיים – לחיים עליונים.
רלג	הוודאות הפנימית מביאה לשמחת המצוות, ביעור הטומאה, ולקירוב מחשבות רחוקות אל גבול הקודש.
רלד	ההכרה הרזית מיוסדת על אין-סופיותו של הבורא, וההכרה הגלויה – על כוח הצמצום, והשפעותיהן ההדדיות מעשירות את העולם.
רלה	אורו של משיח ואמונת ישראל שואפים לתיקון מוחלט של העולם, והם מתגלים למרות כל הקשיים.
רלו	החכמה, המסתכלת על המציאות מבחוץ, והנבואה, המעורה עמה ופועלת עליה באופן ניסי, אורגים ביחד את שמלת האור הגדולה.
רלז	שפת הרזים היא אמת מוחלטת, והשוואתה ללשון השקר של העולם המעשי, עלולה להחריב את העולם.
רלח	הנצרות גרועה מעבודה זרה ברצונה לינוק רוחניות מהיהדות בצורה מעוותת – בלי ההפריה המעשית ודקדוקיה.
רלט	הקטנת ערך המצוות המעשיות נובעת מהנצרות, הזונה אחר עיניה החיצוניות.
רמ	פעולתה החרישית של רוח הקודש באדם, מקשרת ומְהַרְמֶנֶת אותו עם החיים העליונים ודורות עולם, ודיבורו מתחייה.
רמא	הפראמקייט הישראלי מתלבש בדקדוק המעשי ובשמחת שעשועי המצוות, ובלעדיה הוא מנוכר ומזויף.
רמב	התשוקה לארץ ישראל המתגלה בימינו גם אצל הרחוקים מאמונה, הנה דרישה פנימית לביסוס רוח ישראל במלואו.
רמג	חשיבות הקדמת לימוד הנגלה לנסתר נובעת מהשפעת הצורה והסגנון של בית הקיבול על התוכן, על-אף היותו מעולה ממנו.
רמד	הנסים, המצוות, הבריאה, יחוד ישראל, ופעולתם לתיקון העולם, חרוזים זה בזה, והמעטת ערך כל אחד מהם נובעת מחולשת הנפש.
רמה	הכרות השכל והאמונה באות באור ישר מן השורש אל הענפים, ובאור חוזר מן הענפים אל השורש, והזרמים מצטרפים לאגודה.
רמו	האמונה השכלית גדולה מהאמונה הציורית בחופש הדעת שבה, ואמונה ציורית תמימה מביאה להכרת השכליות שבה.
רמז	רוך הלב מלנצח את הנטיות הרעות, זוהי מארת הגלות, ויש להילחם בו, אך גם לשמרו ולהציל את הטוב שבו.
רמח	כשהאדם מרגיש את שפלותו, יידע שהרגשה זו באה בגלל הזרחת השלמות העליונה בשורש נשמתו, וישובו אליו השמחה והענווה.
רמט	כשאדם חפץ לתקן מעשיו, אל יפחד ממה שעבר עליו, ולא משום מניעה.
רנ	המשפט שבתורה שבכתב הוא השורש לחוק הקצוב שבתורה שבעל-פה, ובהארת הנשמה זורח אור המשפט בחוקים.
רנא	מי שמשתוקק לדבקות עליונה, אף שמוקף בכשלונות, ידון עצמו כצדיק, שכן תכונת הצדיקות מושרשת בו.
רנב	מי שמרגיש שנפשו מתיישבת רק ברזי תורה, אל יימנע מלעשותם לעיקר, שכן אחיזתו בשורשו תביא ברכה גם לענפים השונים.
רנג	ברכת ישראל היא תוספת הדעת העליונה, שהיא השורש והמקור לכל המחשבות העצות התחתונות המתפצלות ממנה.
רנד	תורה לשמה באה, כשמרוב התפשטות היראה היא מבקשת כלים להכיל אותה, ופרטי המצוות באים כבר מאליהם.
רנה	הברקות הנשמה, אף שאינן מסודרות, ממלאות את הנפש, יותר מהעמל השכלי וסדרי העבודה.
רנו	מסירות הנפש נותנת לחיים את ערכם, וכל קדושת החיים מסתעפת ממנה.
רנז	אמונת ישראל העליונה מחייה את כל האמונות, וכל תהפוכות העולם מכוונות לגאול אותה מלבושיה הצואים, וזוהי עבודת ישראל.
רנח	זרם רוחני זר עלול לטשטש את הצביון העצמי, ורק אחרי שהוא מושלם ניתן לינוק מהם, ולכן רק לאחר חתימת התלמוד התפשטה המטפיזיקה בישראל.
רנט	המערבים ערכים מדתות זרות עם היהדות, פוגמים בכך שמביאים תוכן הבא ממקור אלילי, ובכך שהתכנים זרים לתכונת ישראל.
רס	יש מרירות טבעית בהתגברות הטוב על הרע, ובביטול אור רזי תורה את השכל הטבעי, אך בהכרת סיבתה היא מתהפכת לשמחה.
רסא	כשאדם נופל ברוחו מפני עוונותיו, יתאמץ בהכרת ערך מחשבותיו, שכן יתכן שנטייתו אליהן וחוסר החשבתו אותן גרמו לנפילותיו.
רסב	לפעמים שוקעת הרוח ומתרכזת בנקודות אמת מצומצמות, כדי שתוכל להבחין בין עושר מפרה לדמיונות שקר.
רסג	שורש ההסתעפות של פרטי ההלכות הוא במקור ישראל, הגבוה מהשכל האנושי, ולכן קשה להתאימם עם טעמי המצוות האנושיים.
רסד	ההשכלה הבאה מרוח הקודש, מהתגלות נשמת ישראל, מתאימה עם הניתוח ההלכתי, וממנה באים אהבת האומה וקנייניה.
רסה	אף שבערך כללי כל העמים מאוחדים באורגניות, ויונקים מנשמת האדם הכללית, ערכם הפנימי של ישראל למעלה מכולם, והוא מתבלט מתוך ההכללה.
רסו	האמון המשפחתי הוא תולדה של האמונה העליונה וכלול באותיות שם ה', פגימה בו פוגמת בכל ייחוסיו החברתיים, ובניינו בונה אותם.
רסז	חורבן אירופה ושפיכות הדמים שבמלחמותיה, מעידים על הצביעות של תרבותה, ומביאים לכינון מלכות ישראל.
רסח	ההזרחה השכלית נתפסת כמיסטית או כבהירה, לפי מדרגת הרצון המוסרי של האדם.
רסט	המצוות הן חוקות שמים וארץ ולא תכנים סימבוליים, וציורי הדמיון בטעמיהן מבססים אותן בכוח המדמה, וממנו באים לאמת.
רע	אחדות ישראל המיוחדת, מקשרת את כל הדורות ורעיונותיהם ומחשבותיהם ומעשיהם לאגודה אחת.
רעא	חידושי התורה, הגדולים והקטנים, הנם קול ה' שמתהלך בגניזה בכנסת ישראל, היוצא אל הפועל.
רעב	על-ידי התבוננות בגבורת הרע, ניתן לחטוף את כוחו, ולהשתמש בו להיות גיבור כמלאכים המקדימים נעשה לנשמע.
רעג	שלהבת החרטה הבאה על רוח טְהורה, הופכת את האדם לבריה חדשה, מוארת ומאירה לרבים.
רעד	את טבע הגוף החומרי אי-אפשר להפוך לרוחני, אלא רק להשתמש בו כממריץ לרדיפת חיים חדשים, כשמרים המתסיסים את היין.
רעה	כל רעיון קטן הוא חלק מהיגיון שלם, ומשתלשל ממנו, וגם לרעיונות הדופי יש שורש עליון, וצריך למוצאו ולהמשיכו בהם.
רעו	כשמתגבר באדם חפץ קרבת ה', מתבטל הקיר המפריד בין מחשבותיו הפזורות לבין מחשבת היצירה השלמה.
רעז	בבית ראשון, בזמן טבעיות האומה, היה צורך להזהיר רק על הכללים (ביעור עבודה-זרה), ובבית שני, בהיחלשותה, הוזהרו על הפרטים.
רעח	האור הכללי שבתורה מתפשט בכל חלקיה ופרטיהם, וכפי טהרת הנשמה מרגישים אותו.
רעט	כל בריה, מחשבה ונטיה, בעולם ובנפש, הנה התגלמות של חיים עליונים רחבים, והסתכלות זו מביאה בהירות גדולה לנפש ולעולם.
רפ	בעולם קטן אי-אפשר לראות תכנים גדולים, והחושק בהם צריך להסתכל בשורש המציאות, ואז ימצאם בגדלותם.
רפא	הלימוד והקליטה החיצונית הנם עצות איך לדלות מתוך החבוי בלב, והמחדש העליון אינו מחדש, אלא מקשיב לעליונים ומעתיקם.
רפב	אם התכונה הגופנית נכרכת על נשמתו כנחש, אל ייבהל, שכן בגדלות הנשמה תוסיף לה הגופניות אומץ רוח.
רפג	התורה היא התגלמות של טל תחיית המתים, שכל ההטבות שבעולם הן שלבים בסולם המביא אליו.
רפד	התורה מכניסה טבע אלוהי בכל המחשבות, ומחזירה אותן למקורן שבה.
