א	(א1)	כשם שצריך להעלות את המחשבות הנפולות, כך צריך להעלות את המחשבות הכשרות הרדודות.
קצב	(סח2)	דמיון בריא מביא להרגשת האור האלוהי, וזו להשכלת התורה, והמעשים והמידות מוסיפים בהם מציאות חיים המביאים לרוה"ק.
קצג	(סט1)	כשהצדיק מאמין בעצמו ובקדושת נשמתו הוא מוסיף דבקות בה', וממשיך חיי קדושה וברכה לעולם.
קצד	(סט2)	אין להילחם מיד עם מידה רעה, שכן ייתכן שבשורשה היא טובה או שאפשר להשתמש בה לטובה, אלא צריך לכסותה בתורה.
קצה	(סט3)	סימן טוב לתשובה מעולה – קורת רוח פנימית, והארות שכליות המתלבשות בדמיון.
קצו	(סט4)	סקירת ההיסטוריה והטבע, הכלליים והפרטיים, כתוכן אחד בעל פרקים, מביאה את הדעת, המביאה לתשובה עליונה.
קצז	(סט5)	המשכילים הגדולים אינם יכולים להסתפק בהתלהבות דמיונית ואמונה פשוטה, אלא צריכים להתעמק בשורשן השכלי.
קצח	(ע1)	דבקות הבאה אחרי הכרה של שלילה גדולה, מעלה את החיים שלו ושל הדבקים בו, ותפילתו נעשית בהירה וקולעת.
קצט	(ע2)	הענווה היא חותם הטוב, ואהבתה היא לבוש ועטרת הטוב, ומאיסת הגאווה מרוממת את האדם ומכשירתו לתורה.
ר	(ע3)	כל התשוקות שבעולם, וכל חמדות התורה והחכמה, לא יזיזו את הצדיק מדבקותו הקבועה.
רא	(ע4)	העונג שבאהבת ה' העליונה, גדול מעונג מסירות הנפש, שכן היא הופכת כל מר למתוק.
רב	(עא1)	ההתרחקות העראית של הצדיקים מציורי הדמיון בענייני האלוהות, מוסיפה בהם אומץ, ובפרט כשנותנת מקום לידיעות החול.
רג	(עא2)	אין להתיירא ממשלים גשמיים ברזי תורה, שכן אינם פוגמים באמונה הזכה, ובמסירות נפש בדבקות האלוהית שופעת ממנה אהבה.
רד	(עא3)	המחשבה המאחדת רוח וחומר, תביא להכרת הכל בצד המדעי שבתפילה, ולא רק באינסטינקט שבה.
רה	(עב1)	פעולת הדיבור וסגולתו (הברכה והקללה), יתגלו בעולם אחרי התגלות כוח המחשבה והרצון.
רו	(עב2)	רק לאחר שיזכך את עצמו מגסות הרוח, יכול האדם לדבר בערך עצמו, בשביל מקבלי השפעתו או בשביל עצמו.
רז	(עב3)	גם על הדברים המונעים את התשובה אפשר לשוב, ואל יוותר על תשובה קטנה או גבוהה מערכו, שכן הכל מצטרף.
רח	(עג1)	אין דבר המעכב את התשובה, וגם לפני שתיקן את כל מעשיו יאחז בתשובה הרוחנית, עד שיעזרהו ה' לתקן הכל.
רט	(עג2)	יש דבקות הבאה מאור התורה המעשית, ויש דבקות הבאה מצד עצמות הנשמה, וצריך לפעמים למזגן.
רי	(עד1)	כל העולמות מתגלים בתוך הנשמה, וכפי העמקת הידיעה הפנימית, גדלה הידיעה על הכל ונמשך אור ה' על האדם.
ריא	(עד2)	המצוות התלויות בזמן, מעלות את הנשמה הפרטית אל אוצר הכלל.
ריב	(עד3)	ארעיות הסוכה נובעת מחידושה התמידי, ולכן חג הסוכות הוא זמן שמחתנו.
ריג	(עד4)	נטיות האדם מעידות על ייעודו, ואם מוצא בעצמו נטיות הפוכות זו מזו, סימן שביכולתו לאחדן, וזוהי עבודתו המיוחדת.
ריד	(עה1)	כאשר יגלה ההמון את המרחק הרב שבין האמונה ובין מדרגתו, יבוא לחרדה, שתשובתה היא גילוי סגולת ישראל והקישור לקדושה.
רטו	(עה2)	התפילה גורמת להתפשטות הרצון, והרצון פועל שינויים בעולם בהשוואה גמורה, דבר שהפילוסופיה האנושית אינה יכולה להבין.
רטז	(עו1)	בכל מדע יש פינות מפגש והשקה עם מדע שונה, ואילו העולמות העליונים משפיעים על התחתונים למעלה מערכם.
ריז	(עו2)	ככל שמזדככת ראיית האדם במעשה ה' שביצירה, מעריך הוא יותר את קדושת הדיבור ופעולתו, ונזהר משיחות חולין.
ריח	(עו3)	מעשה היתר שנעשה בבהמיות, הופך לקדושה ברגע, כשעולה בדעתו לשוב.
ריט	(עו4)	אנשי האשכולות הכלליים, יונקים מאנשי המקצועות, ומשפיעים עליהם בחזרה שפע גדול יותר ממה שקבלו.
רכ	(עז1)	אין לנפול מעבודתו בגלל מידות פגומות, שכן סופן להפוך לטוב, ומה שלא יתוקן ישמר את הטוב מלהחמיץ.
רכא	(עז2)	עריגת הנשמה לשלמותה ולהתאחדות באור ה', מתמלאת על-ידי התורה והמצוות, וזהו שורש אהבת המצוות.
רכב	(עז3)	הצדיק צריך להאמין ביכולת שמחתו במצוות, ובפרט בזמני שמחה, ובשמחת גילוי אור ה' בנשמות ובעולם.
רכג	(עח1)	בהתגלותן, עליונה היא תורה שבכתב על התורה שבעל-פה, אך בשורש עליונה היא התורה שבעל-פה, היונקת מסגולת ישראל.
רכד	(עח2)	אין להימנע מחכמות הקודש, גם אם מוצא בעצמו מידות רעות, שכן האדם נתון בסבך גופניות, והקדושה היא שתעלה אותו.
רכה	(עח3)	נפילות הצדיקים באות מענוותנותם היתרה, ועל-ידי תוספת ענווה הם מכירים באור האלוהי שבנשמתם, ושבים בתשובה כבירה.
רכו	(עט1)	בהווה נראה העולם כסותר את תוכן רזי התורה, וצדיקים ממשיכים את אור העתיד להווה.
רכז	(עט2)	רזי תורה מתבארים על-ידי כל החכמות, ועל-ידי יראת השמים הטבעית.
רכח	(עט3)	העניין האלוהי מאיר בכללותו בעצמות הנשמה, והעיונים אינם אלא כלים לפרטיות אותו האור.
רכט	(פ1)	האמונה הפשוטה, האוחזת במסורת האבות מתוך לחץ הספקות, הנה בגדר ספק לעומת האמונה הוודאית העליונה, המענגת.
רל	(פ2)	הקנאה במעלת אחרים שאינה מידת עצמו, מביאה לשפלות ועצבות, וצריך להסיר קנאתו, ובשפלות להשתמש רק כדי למנוע גאווה.
רלא	(פ3)	כשבא לאדם הרהור תשובה, ינחם את עצמו שנמחלו עוונותיו, וגם העבירות שאין בידו לתקנן תתבטלנה ברוב.
רלב	(פא1)	המחשבות השונות סותרות רק בצלליהן, אך בשורשן הן מאוחדות, וישראל קשורים בשורש האחדותי.
רלג	(פא2)	בהתעלות מחשבתית ותורנית, מתעלה האדם וכל העולם עמו.
רלד	(פב1)	הטהרה הגופנית מעוררת ומטהרת את הרגש והדמיון התחתיים, המתעוררים בייחוד בעת תחיית האומה.
רלה	(פג1)	ההכרות הוודאיות גדולות מההשערות, והמסתכל הטהור שט בהשערותיו וחי מקישורו הוודאי.
רלו	(פג2)	העוסק בתורה לשמה, מעלה את חידושיו והשערותיו למרומי המסורת, ומרומם את העולם כולו.
רלז	(פג3)	לפעמים שומרים את הכלל על-ידי השפלתו והנמכת אורו.
רלח	(פד1)	עבודת ה' היא תכלית היצירה, בין אם זו הידיעה ובין אם היא ברגשי הלב, שכן היא מעלה את המציאות הרוחנית הכוללת הכל.
רלט	(פד2)	כשהדאגה הרוחנית הפרטית מתגברת באדם, הוא שוכח את ענייני הכלל ואת שמחתם, ובהתאמצות גדולה הוא שב ועולה.
רמ	(פד3)	בדור פרוץ, חובה לצרף את החסד של הנסתר עם גבורת הדייקנות של הנגלה.
רמא	(פה1)	בעלי הנסתר – תורתם עצמית ואישית ואינה ברת-השגה, ומתוך התענגותם הם משפיעים ממנה לרשות הרבים.
רמב	(פה2)	העצות המעשיות של הגדולים באות בפתאומיות וכלליות, ואחר-כך מתבארים פרטיהן באופן שכלי.
רמג	(פה3)	התשובה וזיכוך המידות הנם תמידיים, כיוון שככל שהאדם מתעלה, הוא שואב כוחות חיים ממעמקי התוהו, ועליו לתקנם.
רמד	(פה4)	צריכים להיזהר שזיכוך המידות והרצון לא יחליש אותם, ושהאמונה לא תבטל את השכל, ובדרישת שלום ואמת יתגלה לו אור ה'.
רמה	(פו1)	המסתכלים ברזים נקראים בעלי העבודה, כיוון שעבודתם לשמה ונצחית, והם מתנשאים מהחול ומידמים למלאכים.
רמו	(פו2)	בתשובה מאהבה מתקנים את האכילה הגסה למפרע, וזהו עניין ברכת המזון ואכילת הכהנים המכפרת על הבעלים.
רמז	(פו3)	מקובלים אנו שתהיה מרידה רוחנית בארץ ישראל לפני הגאולה, שתפקידה לבסס את החמריות באומה.
רמח	(פז1)	ההכרה שהמציאות יסודה בטוב, מניחה את דעת הפרטים המתייסרים, והשגת גדולת הטוב האלוהי מבשמת את ההוויה כולה.
רמט	(פז2)	יחוד האלוהות העולמית עם המטרה האידיאלית של ההוויה, הוא יחוד קוב"ה ושכינתיה, וזו מגמתנו.
רנ	(פח1)	בעילוי הרצון החפשי מתעלה ההוויה, ומאור התפארת נשפע שפע חיים חדשים.
רנא	(פח2)	כשמכוונים בתפילה עבור בקשה פרטית, צריך לשים לב לכך שבקשתנו היא לתקן את כל הרע שבעולם, ולהגביר את הטוב שבו.
רנב	(פח3)	צמצום המחשבות של גדולי המחשבה, מדלדל גם את כוחם המעשי.
רנג	(פח4)	תשוקת הצדיקים לתפילין היא בחינת תפילין דקוב"ה, המתגלה בתפילין דר"ת, ויציאתה אל הפועל מתגלה בתפילין דשימושא רבה.
רנד	(פט1)	הצדיקים בדבקותם מזכים את העולם, ואפילו את הרשעים שאי-אפשר לזכותם על-ידי מעשים טובים.
רנה	(פט2)	הדבקות השכלית המענגת, והדבקות הדמיונית המצערת לפעמים, מתאחדות לנקודה אחת ושם ש-די מתגלה עליהן.
רנו	(פט3)	המחשבה האלוהית עומדת בטהרתה רק בעת הברקתה, והתמדתה אינה אלא הברקות תכופות שנראות כאור קבוע.
רנז	(פט4)	הגזל קשה לתיקון, כיוון שמערב ניצוצות זרים שאינו יכול להעלותם, וכשאינו חייב להשיבו מפני תיקון העולם, אף הם מתעלים עמו.
רנח	(צ1)	תפילת הצדיקים התדירית בעד הדורות כולם, היא במדרגת צרכי רבים, המתקנת את הגזל.
רנט	(צ2)	עבודת העלאת הניצוצות הפרטית מביאה להעלאה כללית, שהיא – להצדיק את התנועות המיישבות את הארץ.
רס	(צ3)	כשם שצריך להעלות את המידות והמחשבות הנפולות, כך צריך להעלות את הקטנות, וזוהי תשובתם של הצדיקים הגמורים.
רסא	(צא1)	הרצון והמחשבה מגלים את פנימיות האדם יותר ממעשיו, ולכן הצדיקים אינם מסתפקים בהסתכלות בהוויה, אלא בדבקות עליונה.
רסב	(צא2)	ההארה שלמעלה מאותיות המחשבה אינה סובלת גבול, והאותיות עצמן דורשות אותו, ואיחודן בצער נעשה על-ידי מידת הרחמים.
רסג	(צב1)	כשהטוב שבאדם הוא הצד המכריע, צריך להתמלא בגבורה, אך כשהרע שבו מרובה מהטוב, ראוי להרפות את רצונו.
רסד	(צב2)	יראת הצדיקים, אף-על-פי שמחלישתם, ממלאת אותם ואת העולם בחיים טהורים ובגבורה עליונה.
רסה	(צב3)	גסות הרוח מונעת את הנהגת הגוף התקינה, ובגַבהוּת דקדושה, המתעלה לדרגת ההשוויה, חוזר הגוף לאיתנו.
רסו	(צב4)	זיכוך המחשבה מגביר את חשק אהבת ה', ובהיסח הדעת – הזיקוק השמימי מדכא את האדם, ומייבש את החיים.
רסז	(צג1)	עונשי הממון שבישראל, נובעים מהרצון לתיקון העולם והסרת הרוע, ובגויים – מאנוכיות, וצרות עין נגד הנוגע ברכוש חברו.
רסח	(צד1)	החיים הם ניצוצות מאורות אין-קץ שאינם פוסקים, ולכן האדם מקושר לכל החיים והעולמות, ואילו התרבות המוגבלת אובדת.
רסט	(צד2)	הצער שבדבקות הוא צער הנשמה על התנתקותה מעולם החול, הכולל בקרבו אור ה', והצדיקים מבררים אור זה מעולם החול.
רע	(צה1)	אין להיבהל מקיבוץ הפכים, שכן בהסתכלות עמוקה מאחדים את כל ההפכים.
רעא	(צה2)	הטהרה וההשתוקקות אליה מכשירים את הדמיון, שלא יעכב את השכל בהשגותיו העליונות.
רעב	(צה3)	תחיית האומה בארץ, גדולה ברעננותה וקטנה בכמותה (כתינוק שנולד), ואמונת ישראל בנצחיות התחייה היא סוד קיומה.
רעג	(צו1)	כל פרט בתורה, תובע להרוותו בטל תחייה עליון של התורה הכללית, וזוהי תביעתם של לומדי התורה לשמה.
רעד	(צו2)	אשרי מי ששם עצמו כשיירים לכנסת ישראל, ויונק ממנה את כוחו, ואהבתו לאומה אינה נגרעת בגלל חסרונותיה החיצוניים.
רעה	(צז1)	המחשבה המעשית היא מזון המכשיר את הגוף לקבל את השירה העליונה, שהיא אוויר הנשימה של הנשמה.
רעו	(צז2)	שמחת הכיליון הנובעת מהפסימיזם, הנה הצד העליון שברע המוחלט, שכיליונו הוא תיקונו, ואילו הישרים שמחים בטוב המוחלט.
רעז	(צח1)	כשממעטים את השכל האנושי כדי להגביר את האלוהי, צריך להיזהר שלא למעט את צדו האלוהי, אלא רק את סיגיו.
רעח	(צח2)	לישראל, ובפרט לצדיקים, יש חוש מיוחד להכיר את השלמות האלוהית, וכל עבודתם ונטיותיהם הם גילויים משלמות זו.
רעט	(צט1)	החוצפה שבעקבא דמשיחא, באה מחוסר יכולת זמני לעכל את כל הנשמות התועות בין האומות, השבות לישראל.
רפ	(צט2)	כל ההפכים מאוחדים בשרשם, אך רק הצדיקים כיוסף יכולים לבטל את המחיצות הנזקקות להיות ביניהם.
רפא	(ק1)	מצד המוסר האלוהי שבו, צריך האדם לראות עצמו כמרכז הכל, ומצד חיי המעשה עליו ללמוד אפילו מן השפלים שביצורים.
רפב	(ק2)	הצדיקים שנסירתם לא נגמרה, מוכשרים לעבודה עיונית ולא למעשית, ונסירתם הבאה לזכות את הרבים, מביאתם להשכלה מעשית.
רפג	(קא1)	ההפרדה בין הצדיקים לרשעים היא כגזירת הגוף החי, ודומה לפירוד המצוי בעבודה זרה.
רפד	(קב1)	כל החשק והאור שבעולם נפגם בפירוד ישראל, ואהבת ה' לישראל מבטיחה את איחודם ותחייתם.
רפה	(קג1)	אהבת האומה ותחייתה המתגדלת בימינו, תתלקח עם אש האמונה בטהרתה, ובכך תתברר הלאומיות החילונית מזוהמתה.
רפו	(קד1)	הנצרות הביאה נחמה של הבל, וותרנות וחסד של שקר, במקום לתקן את החיים בתשובה אמיתית.
רפז	(קה1)	האמונה העליונה יורדת ומתחברת עם התחתונה, המקושרת לשכל האנושי, וממתיקה את התנגדות השכל אליה.
רפח	(קה2)	רק ישראל מקשרים את עולם העשייה עם העולם האידיאלי, ואילו הגויים רק משערים את צלליו, שהם קסמים שאינם עושים פירות.
רפט	(קו1)	רק אצל ישראל האמונה מאמצת את החיים, ואילו אצל הגויים היא נלחמת בהם, והכפירה באה לברר את ייחוד האמונה לישראל.
רצ	(קז1)	המסתכל בצד הטוב שבכל אחד, מתאהב על הבריות בלי צורך לחנופה.
רצא	(קז2)	הדבקות הפילוסופית הנה אמיתית רק כשהיא מבוררת, ואילו הדבקות הטבעית הנה אמיתית גם כשאינה מעוטרת בחכמה בגלוי.
רצב	(קח1)	סמוך לעקבא דמשיחא מתרבה סגולת האחדות באומה, אף שהיא טמונה במטמון של קטרוג ומריבות.
רצג	(קח2)	נפילת הרצון מפני החטא, מורידה את החכמה באדם ובעולם, ובהתגברות הרצון תוּאר המחשבה.
רצד	(קח3)	התנוצצות היחס בין המשיג והמצייר לנשמות כל הדורות, היא התחלת רוח-הקודש, ובהתחברה לחכמה ולמעשים היא מעלה אותו.
רצה	(קח4)	נפילות הצדיק באות כדי לברר לו, שאין לו ממה לפחד.
רצו	(קח5)	ישנן מידות רעות המחזיקות את הטוב, אך גם הן צריכות לכלות, כדי שהטוב יצמח על בסיס בריא.
רצז	(קט1)	כל כוח, חומרי או רוחני, הנו כגוף לעומת הנשמה המחייה אותו, וניתן ללמוד ממנו על גדולתה.
רצח	(קט2)	ההופעות הפתאומיות נבחנות לפי עומק הדעת שבהן, ולפי פעולתן בקדושה על רצון המרגיש.
רצט	(קט3)	ככל שרוח הקודש גדול יותר, גדלים צחצוחי הטומאה שבו, והם נטהרים על-ידי התורה, עד שאפילו הגאווה הופכת לגאות ה'.
ש	(קיא1)	הצדיקים צריכים להתאמץ ולהסתכל על העניינים המעשיים, כשם שרוב בני האדם מתאמצים להסתכל על העניינים השכליים.
שא	(קיא2)	תחיית רוח הקודש והארת התורה והנבואה, עם הגדלת יפי החיים והתרבות – מתגלים לפנינו בארץ ישראל.
שב	(קיב1)	כל אומה יונקת מצינור מיוחד, ובישראל גם התוכן עצמו מיוחד, וכדי שישראל יִנְקו תכנים כלליים, התפזרו תכנים ישראליים בגויים.
שג	(קיב2)	המסתכלים הרוחניים מוכרחים לראות בכל הפרטים את שורשם הכללי.
שד	(קיד1)	הכרת האדם מסופקת בתחילתה, ולכן הוא זקוק ליראה הנמוכה, וככל שמתעלה הכרתו היא נעשית וודאית ועמה מתעלה גם יראתו.
שה	(קיג2)	הנשמה הישראלית שורה בצדיקים, והרוח בתלמידי חכמים, והנפש בהמון הפשוט, ולמרות דרגותיהם השונות הם יונקים אלו מאלו.
שו	(קיד1)	כשרצון האדם מתמלא בגדולת הגבורה, החכמה, הקנאה והיופי, הוא מתברך ומתעדן.
שז	(קיד2)	העולמות נפלו בנפילת הרצון בעקבות חטא האדם, ואנו קרואים להעלותם.
שח	(קיד3)	כשיתוקן הרצון, ויבוטא ברצון עם, יתחדש העולם.
שט	(קיד4)	הקדושה העליונה, מידת הצדיקים, תובעת מן הטבע את זיכוכו כדי להתאחד עמו, והקדושה הרגילה לוחמת בו, ושניהם מפסידים.
שי	(קטו1)	ההברקה הפתאומית של רזי התורה מדכאת את חופש האדם, אך אחרי ישוב הדעת היא מפארת את החיים והמוסר.
שיא	(קטז1)	לקראת הגאולה השכל האנושי מתמעט על-ידי תביעת הטבעיות ותביעת גילוי האורה העליונה, ואז בא חושך שפנימיותו אור.
שיב	(קיז1)	השירה שבפסוקי דזימרא מגבירה את יכולת ההבטה בייחוד השלם שבעולם ובעולמות העליונים.
שיג	(קיז2)	הצד ההלכתי שבתורה עוסק בפרטים והנסתר עוסק בכללים, והפלפול והלימוד החדש מכשירים את איחודן.
שיד	(קיט1)	שונא אני את הגאווה, למרות שכל מציאותה בקרבי היא כדי להיות מעורב עם הבריות ולהנהיגם.
שטו	(קיט2)	איחוד הפירודים (ייחוד), המוסיף אור בלא הפסק (ברכה), על-ידי ההתעלות מן הרע (קדושה) – הנם תוספת אורה באור אין-סוף.
שטז	(קיט3)	הפירוד בין הטוב לרע נובע מהחמריות, ובהסתכלות כללית גם הרע הוא טוב, והכרה זו הולכת ומתגלה בלא הפסק.
שיז	(קכ1)	כשם שהאמונה אינה שוללת את ההכרה העצמית אלא נזקקת לה, כך המוסר העליון אינו שולל את הרצון הטבעי אלא נזקק לו.
שיח	(קכא1)	האיטיות שבעילוי המציאות היא צמצום המכשיר השתלמות בלתי פוסקת, ובשלמות העתידית תימשך ההשתלמות מזכרון העבר.
שיט	(קכב1)	על-ידי עבודת הצדיקים מתנוצץ ה"אַין" האלוהי ומתגלה בתור "יש", ועל-ידי ישראל הוא מאיר לכל העולם.
שכ	(קכב2)	יכולת הביטוי הנמוכה של ישראל, לעומת חכמי הגויים, נובעת משורשם הגבוה, אך עתיד הוא להתהפך לשפה ברורה.
שכא	(קכב3)	הכבדות שבלימוד הפרטים המעשיים, נובעת ממיעוט האור בכללים, ובהוספת אור בכללים מוארים הפרטים כולם.
שכב	(קכג1)	האדם, ברוממו את ציוריו הרוחניים, מעורר השפעות מלמעלה למטה ומלמטה למעלה.
שכג	(קכד1)	עמל התורה והקדושה מגדיל את הרצון ומעלה את כל הניצוצות, ועצמיות הנשמה מתעשרת מהם ומגדילה את עצמיות ההוויה.
שכד	(קכד2)	כאב הלב הבא מהתהייה על שינוי הרצון שבתפילה, מיתקן על-ידי הכרת ערך הרצון ואחדות השינוי והשיווי באלוהות.
שכה	(קכד3)	הענווה מרכזת את האדם בנקודתו העצמית, המשקפת את כל מרחבֶיה, והגאווה מסיחה את הדעת ממנה, וקורעת את אוצרותיו.
שכו	(קכה1)	קדושת ארץ ישראל שבטבע, גדולה מהקדושה שבגלות, הלוחמת בטבע, ועתידה קדושת הגלות להיבלע בקדושת הארץ.
שכז	(קכה2)	כשהקדושה שבטבע כוללת את הקדושה שלמעלה מהטבע, המלחמה חדלה, ומידת הדין מתבסמת.
שכח	(קכו1)	העבודה האלוהית מאשרת את האדם והעולם באושר עצמי, הנובע משפעת החיים של בוראו, ולא מהשכלה חיצונית.
שכט	(קכו2)	צער העולם נובע מגדלות הנשמה שאינה יכולה להתממש, וידיעה זו הופכת את הצער לעדן.
של	(קכו3)	המשיגים הגדולים מצטערים מהשגת עצם הלימוד בלי מקורו, ואף-על-פי-כן ידיעת העצם קודמת למקורו.
שלא	(קכו4)	נפילות הצדיקים וישראל באות מפני גדלות חייהם הרוחניים, שטרם יצאו אל הפועל.
שלב	(קכז1)	כשיראָה מלפפת את האדם, יעלה את פנימיותו למרומי הדעת, ויראֶה שאין להתיירא.
שלג	(קכז2)	לפעמים היראה אוטמת את הלב מלגשת לתורה ולתפילה, וצריך להגביר את האמונה באור ה' שבתורה ובנועם התפילה.
שלד	(קכז3)	הרחבת דעת חיצונית בשכל עיוני ומעשי, מביאה להכרה פנימית ולגילוי רזי תורה.
שלה	(קכז4)	האנשים הגדולים משתוממים וכושלים בעיונים מעשיים, ועליהם להסתכל הסתכלות עצמית מיוחדת, שממנה יצאו ענפים מעשיים.
שלו	(קכז5)	היראה המתגברת בזמן לימוד רזי תורה, הרי היא ייסורים של אהבה המביאים לתשובה, ואל יימנעו מלימודם למרות כל המניעות.
שלז	(קכח1)	הצער ממניעתה המדומה של התורה והמוסר את ההנאה מחוש היופי, מעורר צער על מניעת התפארת העליונה, ומכשיר עונג עליון.
שלח	(קכח2)	נשמת הצדיקים נרפאת ומתגברת מעיסוק ברזי תורה, ומכוח קדושתם הם מזכים את כל העולם.
שלט	(קכט1)	האהבה העצמית, בצורתה האידיאלית, קודמת לאהבת הזולת.
שמ	(קכט2)	הרצון החפשי שבאלוהות (עולם הנקודים) ובאדם, גדול מהרצון המתגלה בצורת שלשלת סיבות ופרצופים מאורגנים.
שמא	(קכט3)	ישנן דרגות בעבודת ה' בהן שווים בעלי ההשכלה והירודים, וישנן דרגות בהן הם מוכרחים להיות שונים, כגון בצדדים מעשיים.
שמב	(קל1)	צדיקים עלולים למנוע טובה מהעולם בגלל שפלותם היתירה, ועליהם להאמין בגדלותם.
שמג	(קל2)	משחרב בית המקדש התלבשו השמים, והתורה הבאה מהם, בשקים, ולקראת הקץ מתבהרים השמים, ומאירה התורה העליונה.
שמד	(קל3)	אורו של משיח יברר את ודאות הטוב, ואז תגדל ההכרה שטוב להודות לה'.
שמה	(קל4)	כשם שהאכילה מעוררת את הצימאון, כך התורה המעשית מעוררת את הצימאון לתורה הפנימית.
שמו	(קלא1)	דכאות הלב של הצדיקים הבאה מיראתם, מפכחת את יצירתם, והעצבות הבאה מהייאוש, נובעת מההתרחקות מהיראה.
שמז	(קלא2)	העבודה של בירור הרעיון בטהרתו וקדושת הרצון (ייחודים עליונים), כוללת ומולידה את הצדק והמוסר הקטנים ממנה.
שמח	(קלא3)	הכפירה באה מציור אלוהות גדול שאינו ממומש בחיים המעשיים, ולכן היא דורשת את אימוץ הגוף ותיקון הרוח.
שמט	(קלב1)	המסתכלים ברזים העליונים, כשהם מתמזגים עם הציבור, הם מבססים את חיי החברה, הנוטים בטבעם להתקשר אל הנצח.
שנ	(קלב2)	הצדיקים קשורים לכל הטוב, המפוזר ברע שבעולם ומרחיבים אותו, ותפילתם פועלת על הכל מפני קישור רצונם ברצון העליון.
שנא	(קלג1)	על-ידי חופש רוח יכיר העולם בערך המחשבה, ויבוא להוקיר את ישראל, אמונתם וצדיקיהם, שהם נושאי המחשבה האלוהית.
שנב	(קלד1)	חופש דעות של אנרכיה מביא לעבדות הדעות, ועם כל גדלות המחשבה, הנה רק לבוש לגדלות הרצון.
שנג	(קלד2)	רצון האדם המתעלה ומידמה ליוצרו, מעדן את העולם, ומכשיר את התרבות האנושית להיות כלי לגילוי אור ה'.
שנד	(קלד3)	הנשמה משפיעה עושר חיים על הרצון, והוא בקדושתו מעלה, בזמן האכילה, ניצוצות חיים הפזורים בחומר, הפועלים טובה בעולם.
שנה	(קלה1)	סיבוכי המחשבה בעניינים רוחניים, הנם שבירת המחשבה הקטנה כדי ליצור רצון להשיג מחשבה פנימית ועליונה.
שנו	(קלה2)	לגבי הבורא, שמעל הטבע וההכרח, לא שייך המושג רצון, ובהשגתנו אנו אומרים על זה "רעוא דרעוין".
שנז	(קלה3)	בכל לשון טמונה השקפת עולם שלמה וכל הספרות העתידה לצאת ממנה, והתורה מתפשטת בכולן ונדרשת בשבעים לשון.
שנח	(קלו1)	רצון הילד ובינתו צלולים, ויותר ממה שצריך לפתחם, צריך לשומרם בתמימותם.
שנט	(קלו2)	כשם שהילדות תופסת את העצם במקוריות, קודם להבנת הפרטים, כך היא גם כל התמכרות לאידיאל, וצריך לשמור על תמימותה.
שס	(קלז1)	בזמן שממון הנפש, צריך לעסוק בתורה בעיון ובקיאות, ובזמן הברקת הרעיונות, קוצרים את הפירות.
שסא	(קלז2)	הנשמה הפרטית צריכה להתאחד עם אוצר הנשמות הכללי של כל הדורות, ולאחד את התורה בכל חלקיה, ולצרף לקדושה את הרע.
