א	שלושת הכוחות הנאבקים ביניהם בתוך מחננו – הקודש, האומה והאנושיות, צריכים להתאחד.
רב	קטנות האמונה באה מתוך חוסר האמונה בעצמו ובהתאמתו אליה, ובייחוד בישראל, שגאוותם הלאומית משובצת בענווה.
רג	המצוות והמנהגים מציירים בחיי הנפש והעולם ציורי אמונה, ועזיבתם מציירת ציורים הפוכים, וביאור רזי תורה מעורר הרגשה זו.
רד	אצל הבינוניים, השכל האלוהי חל רק  על-ידי ביטול השכל המעשי, ולכן השפלת השכל שהיתה במצרים, נזקקה לקבלת האמונה.
רה	אי-אפשר להגדיר את מהותה של כנסת ישראל, משום שהיא כוללת כל, ויסודה מושתת על אהבתה הפנימית לה'.
רו	המסר של הקרבנות הוא, שלפעמים דרושה הקרבה עצמית בשביל הדבקות בה', אך היא משתלמת.
רז	כוחו של הצדק והמוסר האנושי מתגבר, ככל שהוא מידבק במקורו האלוהי.
רח	הברקות נשמתי תארנה את העולם ותעוררנה בו פליאות ותימהון.
רט	נשמת ישראל האדירה מתפשטת על כל נשמות ישראל הפרטיות, בכל דרגותיהן, והיא שתשיב אותן למקום בית חייהן.
רי	הרגש, הדמיון והחשק, של המוסר הטהור מתגשמים רק על-ידי ההתמסרות אל המוסר האלוהי.
ריא	כשהנשמה מתקשרת באורה העליון של התורה, מתחבבים פרטיה ודקדוקיה.
ריב	כשהתפילה מזהירה בנשמה, מכיר האדם במקורה העליון ובפעולתה, ובערך הדיבור והחיים הרוחניים בכלל.
ריג	העולם הבא הוא מציאות קיימת בהווה, שממנה באה שמחת המצוות, וצדיקים משפיעים ממנה לעולם הזה.
ריד	ככל שמתקדש האדם, הוא מרגיש את אחדות הפירודים והתקשרותם בשורשם, ותשוקתו לתורה גוברת.
רטו	כל חושי הנפש והנשמה תובעים את התרחבותם, ובייחוד החוש האמוני, הדורש לקבל באהבה עול תורה ומסורת אבות.
רטז	אסור לכבות את הגחלת הרוחנית שבאדם, וצריך להוסיף לה אש "מן ההדיוט" בשכל טוב ובאור תורה.
ריז	הצימאון הרוחני משפיע חיים רעננים בשכל החוקר, ומאזר את כוח החכמה בגבורה ובשלהבת אור.
ריח	כשאדם קרוב לתורה, מאירות עליו הארות עליונות, וייזהר שלא יחצוץ בעדן על-ידי עוונותיו.
ריט	רוח הקודש מבררת לאדם את מקור הדיבור ופעולתו, ומביאתו לזהירות במוצא פיו, המביאה לרוח הקודש.
רכ	יראת ה' היא החכמה היותר עמוקה, והיא הנותנת למדע את עמקו, ובלעדיה הוא שטחי וחיצוני.
רכא	עומק היראה בא מהתמזגות היכולת ואי-היכולת לדעת את ה'.
רכב	שאיפת הנשמה למרחבים, ולאמונה ואהבה בלתי-מוגבלים.
רכג	הקודש שבטבע מתאחד עם הקודש שמעל הטבע על-ידי אורו של אליהו.
רכד	פיתוח היישוב והבניין הלאומי יביאו להתעוררות נשמת האומה, שתיישר את דרכיהם ותתקן את קלקוליהם.
רכה	התפתחות האומה שלפנינו, היא ראשית הגאולה, אף-על-פי ששם שמים עוד לא שגור על-פיה, ומצב זה הוא חבלי משיח.
רכו	חלומות הנביאים, המשוררים, מתקני העולם וישראל המצפים לישועה, מפיחים רוח חיים בעולם המתייסר מגבולותיו וחסרונותיו.
רכז	טמטום הלב מונע מהאדם לראות את עצמו כאבר של הכלל ושל ההוויה, ואת השפעת תיקונו המוסרי עליהם.
רכח	העיון ההלכתי לפעמים מעכיר את הרוח, אך יש לנהוג כמנהג המקום משום מידת דרך ארץ, המרחיבה גם היא את הנפש.
רכט	הנשמה תובעת לעשות את כל הדברים לשמם, וכל הפניות הנן רק צדדים חיצוניים, המתבטלים בחיזוק האמונה העצמית.
רל	לפעמים מתוך החשק לאחוז בדרגה גבוהה, נשמטות המדרגות הרגילות, ועיסוק בתפילה למרות שִברונו מפתח את האמונה בגודלה.
רלא	הנפש הבהמית של בעלי הסוד חזקה, וכדי להעלותה הם צריכים דווקא לרזי תורה.
רלב	בעלי הפנימיות, מתקשים לחדש חידושים מתוך ענפי התורה, והם יונקים את חידושיהם מעומק יסודה ונשמתה.
רלג	החלומות הגדולים ושאיפות הדבקות ממלאים את חיי, ואיני יכול שלא לאחד את כל הזרמים השונים.
רלד	התורות והמצוות והאמונה מזריחים את אורותיהם בנשמה, והשפה קצרה מלהביע זאת.
רלה	החסדים והדינים ממלאים את הנפש, ומקשים על הכרת הערך העצמי.
רלו	גאוות ה' המתגלה בנפש, אינה סותרת את השפלות וההתחברות אל מדוכאי העולם.
רלז	צריך לשחרר את הספרות והמחשבות האישיות מכבליהן.
רלח	הצדק והרשע, האמת והשקר, מצטרפים לאגודה אחת, שבעמקה הכל אמת, צדק וטוב, והמעמיק בכך מהפך את הרע לטוב.
רלט	כשהרוחניות מוכרת בתור חטיבה טבעית, היא מארגנת את האדם והעולם באושר קבוע, והצורך בתורה ומצוות נעשה טבעי.
רמ	יש לקחת מהטבע את הסדר, הדיוק וההתמדה, ולהשתחרר מפראותו ומן ההכרח שבו.
רמא	על-ידי הופעה רוחנית שירתית, מתפשטת השירה בכל פרטי התורה ופלפוליה, ושבים אליהם בחיבה.
רמב	אף-על-פי שאצל ישרי-לב העולם כולו מלא באור ה', האור שבתורה גדול יותר, ולכן הפוסק ממנה מתחייב בנפשו.
רמג	האדם האלילי בורח אל התאוות בגלל יראתו מהאמונה, אך לא יצליח, מפני שהאור האלוהי חודר בכל.
רמד	היצירה הפנימית וגאון הנשמה זורמים ותוססים, וההשקפה מלאת הקודש מתרחבת וקוראת לחזק את כל הנשמות.
רמה	קו דק מבדיל בין הרצון העדין והקדוש לבין הרצון הגס והעכור, והמוסר והשכל קובעים את מקומו.
רמו	המוכשרים להסתכלות עליונה אינם יכולים להסתפק במוסר תחתון, אלא צריכים ליונקו ממקורו העליון.
רמז	החושב העצמי, מוכרח לתת לדברים הכלליים צורה אישית, אשר תתמזג עם הצורות הכלליות.
רמח	התלהבות רגש הטוב של הצדיקים היא צורך קבוע, וכשברור להם שהיא נובעת מהתגלות נשמתם, היא גוברת על כל שכל מדוד.
רמט	כשאור הקודש שלמעלה מהתורה מתפשט באדם, הוא אינו יכול לקצוב עצמו בדברים מוגבלים, ואור זה מעטרהו גם בירידתו לחיים המוגבלים.
רנ	ישנו צער גדול במעבר מתלמוד עיוני ושירי לתלמוד ההלכות הקצובות, ולכן יש לרפדן ברפידות החופש והטוהר השמימי.
רנא	התפילות הפסולות פוגמות בכסא הכבוד, ובמחשבה והאמונה והחיים האחוזים זה בזה.
רנב	אחיזת הנשמה בשורשה מחדשת את כוחה להפריח ענפים חדשים, וזהו היסוד לכך שרזי תורה מחזקים את לימוד הנגלה.
רנג	הרחבת האופי הפנימי עלולה לגרום לבזיון חבריו, ועל-אף הצורך בדבר ולימוד הזכות עליו, עדיף להיזהר ממנו.
רנד	אורות הקודש שבתורה ובמצוות מאירים את הנשמה, ובהתגברות אורה היא מוסיפה אור גם באורות שהאירוה.
רנה	צידה החלוש של ההופעה האלוהית בא באור כהה והתבהרות דרגאית, ורק לפעמים היא באה באור גדול ובדילוג פתאומי.
רנו	הנשמה העליונה ודיבורי הקודש שלה שואפים להתפשט בעולם, וזוהמת הבשר והדיבור הרע סותמים את פיה.
רנז	אדם צריך להכיר ולכבד את כשרון הדבקות שבו.
רנח	ראיית הנשמות בעת גדלותן והארתן, ובעת קטנותן והחשכתן, וגאולתן על-ידי תפילת הצדיק.
רנט	תשוקתי לנסתרות וביאתי לארץ באים כדי ליצור ספרות מלאה אור רזי תורה, השווה לכל נפש.
רס	מאבקה של התשוקה ללימוד המעשי עם התשוקה ללימוד הרוחני, מוליד אור חדש המכונן את ישראל בארצם.
רסא	הצדיקים אינם יכולים לצמצם מבטם, אלא מעלים ניצוצות קודש מכל מקום.
רסב	הלעג על הצד החיצוני שבאמונה, נובע מקוצר ראייה בהתפשטות אור ה' על קטן וגדול כאחד.
רסג	כשם שתארי ה' מרוממים אותנו מכל שלילה, כך תיאור מידותיו הנראות כפגומות, מעלה את מחשבותינו למעלה מכל מוסר מוגבל.
רסד	קנאת ה' נגד העבודה הזרה, הנראית כאנוכית, מזוככת על-ידי המדע העליון ושפעת רוח הקודש.
רסה	הניצחון על הרשעה שבעולם והפיכתה לטוב, יבואו בכוח תורתם של תינוקות של בית רבן, כשהיא לבדה מושלת בנשמתם.
רסו	האמונה צריכה להשתחרר מכל כבליה וקליפותיה, ולהזריח את קרני אורה.
רסז	אי-אפשר לעצור את האהבה האלוהית של חסידי הקודש, שכל הלימוד והמעשה הם הֶכשרים להתפשטותה על כל החיים.
רסח	השכל הבריא המקורי מורכב מהשכל המזין והרגש המענג, והעוסק בתורה לשמה מתברך באחדותם והשלמתם זה את זה.
רסט	אחדות העולם הרוחני עם החומרי מתגלה בישראל ובערך דיבורם, וסגולתה של ארץ ישראל לכונן גילוי זה בעולם.
רע	גבורה רוחנית היא, להבדיל את העולם הרוחני מכל מה שנראה כסותר אותו בעולם הכללי.
רעא	הלומד תורה לשמה מתקשר עם כל המציאות הנובעת ממקורהּ, והכל מתעלה, וממילא משתחרר הוא ממגבלות השכל והמוסר.
רעב	כל סופר שאינו עמל לקדש עצמו, אינו ראוי לכינוי "סופר", שכן הראשונים נקראו כך מפני שהיו סופרים את אותיות התורה.
רעג	בשר הקודש של ישראל דורש פיתוח, ובו תלויה גם הצלחת התשובה.
רעד	חיזוק הגוף של הצדיקים, וקל-וחומר של כנסת ישראל, מגביר קדושה בעולם, וכל אחד מישראל בהתייחסו אל הכלל, חשוב כצדיק.
רעה	כשהאדם מתקדש נשמתו מתגלה, חושיו מתחדדים ומתעלים, והוא משתוקק לטוב ומואס ברע.
רעו	ככל שהנשמה מבהיקה מקדושת המעשה וטהרת הדעת, כך יפעלו הם עליה את פעולתם.
רעז	גם בדור וגם ביחיד, לאוּת גופנית גוררת לאוּת רוחנית, ותיקונה יבוא רק בחיזוק הגוף.
רעח	כל הייסורים שבעולם מתקבצים בלב, הזועק לנחמה מיגונו ממקור הישע.
רעט	מעוף הנשמה למרחבי א-ל, ממעל לשכל ומעשה מוגדרים.
רפ	צער הנשמה על חוסר יכולת ביטויה, ועל חוסר יכולתה להשפיע על נשמות העולם.
רפא	המחשבות עורגות לצור ישען ומבקשות את התפשטותן, וזיקוק אורחות החיים סולל את דרכן, והן מכריעות את החיים אל מסלולן.
רפב	על-ידי טהרת המידות וההארה השכלית בתורה ובשימוש חכמים – הדמיון מתברר ונעשה לשכל, ועומק הרגשתו עולה על השכל.
רפג	הדברים הנעלמים, השרויים באפילת התוהו, על אף יופיים, צריכים להישכח מהלב, וזהו עניין הדורות אשר קומטו בלא עת.
רפד	צער הצדיקים הנובע מחיפושם התמידי, מתרפא בידיעתם את ערכו הנובע ממעלתם העליונה.
רפה	הספרות נצרכת כדי שרזי התורה לא יהיו נחלת היחידים, אלא מפותחים ומפורטים באופן שיוכל ההמון לקבלם.
רפו	הוגי הדעות צריכים להרגיל עצמם בכתיבה ודיבור, אפילו במחשבות פשוטות, ולפעמים דווקא על-ידן יתגלו חידושים נשגבים.
רפז	לפעמים האמת מתגלה בדרכים של שקר, ואז החתירה נגדו מאבדת את האמת עצמה, ודרך התיקון היא להגיע לאמת בדרך של אמת.
רפח	בעלי ההשגה שלמעלה מטוב ורע, מוכרחים גם לשנוא את הרע, כדי לרפא את מוסר כליותיהם הנובע מאהבת הרע.
רפט	אין צער בעולם שידמה לצער תשוקת הנשמה אל הטוב המוחלט.
רצ	הנשמה שואפת להתענג על ה' מפני שזהו תוכן החיים, ומצטערת בפגישתה עם הלכות קצובות, ומצפה לאור שיחדור בהן.
רצא	הדיבור פורץ מהתגלמות הרוחניות הנעלמת – הבאה משורש הנשמה – לאותיות, ופגישתן עם הרצון המקושר לגוויה.
רצב	בכל מידה דבוקים חסרונות, והעבודה השלמה היא לבררם.
רצג	רכות הלב ויראת החטא האירופאיות, הורסות את חוזק הרצון כשהן מתפשטות מעבר למידתן.
רצד	המדע מחייה בלימודו רק את החלק שאליו הוא מכוון, ואילו הקדושה, על-ידי לימודה, מתפשטת על כל כוחות הנפש והנשמה.
רצה	בכל גילוי רוחני מוכרחים לתת רווח והפסקות, כדי לאפשר את עיכולו, וכדי שלא יטשטשו האורות את הגבולות.
רצו	דור התחייה טרוד בהוצאת אור מעצמיותו, ולכן אינו פנוי לאור הבא בירושה, וכשעצמיותו תנבע מאליה, הוא ישוב למורשתו.
רצז	הרוחניות בהתעכלה, לובשת צורה חדשה, המתאחדת עם הנשמה בצורה שלמה יותר מאילו נשארה בצורתה המקורית.
רצח	השכחה, באדם ובציבור, מיועדת לרשמים המטשטשים את השלמות, והזיכרון – לרשמים הטובים, ואסור להחליף ביניהם.
רצט	דורות התוהו הנשכחים, יוצאים מאפלתם לסידור עליון על-ידי התורה ואורו של משיח.
ש	זכות אבות היא ירושה של רוח חיים, שהורישו האבות לבנים מבלי שהבנים יעמלו בהם, ועל הבנים לשמרה ולחדשה.
שא	האידיאליות האצילית של ההוויה גדולה מהרוח הממלאת ומחייה אותה, ושתיהן מתאחדות.
שב	גופם של צדיקים עשיר בתוכנו יותר מכל רוחניות, ובהתחזקותו מתחזקת הרוחניות, וההכרה בכך מכשירה את העולם אל הגאולה.
שג	הגוף מקשיב לצלילי הנשמה ולהתגלמותם בדיבור, והוא סופג את תמציתם לתוכו, ומכיר בערך העבודה המביאתו להתוודע לדבר ה'.
שד	אם אינו מוכשר לחברותיות וללימוד הלכתי בגלל אצילות נשמתו, עליו לשמוח בכך, ולהשתתף עם הציבור כפי יכולתו.
שה	שורש התורה ופרטיה חתומים בבשר הישראלי, וממנו מתנשאת הרוח, ועל-ידי נטייתם הציבורית של ישראל היא מתפשטת בעולם.
שו	כבוד האדם מאוחד בשרשו עם כבוד ה', והשפלות המרדימה את האדם מייאשת אותו מלהיטפל בכבוד ה'.
שז	הרעיון צריך לכלול גם את כל הנטיות הגופניות, ושמחת השדים והרשעים הגמורים באיבוד העולם, באה מתשוקתם לאבדון עצמי.
שח	השירה מוכרחת להיות קדושה, ותיקון העולם תלוי בשיבתה, והכפירה היא הסריסות מהשירה וההצטמצמות בחקר פרוזאי.
שט	ישנם אנשים שמיישבים תחילה את השכל וממנו באים לנקודת הרצון (עומק), וישנם המתחילים מנקודת הרצון אל השכל (רום).
שי	המינות ביטלה את ישוב העולם והמצוות המעשיות, בהתלבשה בחסד ואהבה חיצוניים, שפנימיותם היא שנאה.
שיא	עצם היות השאיפה בלתי-פוסקת, מעיד על היותה שאיפה לדבר נשגב ונעלה, ולא לסיגים חיצוניים.
שיב	מעולמות רחוקים, קיימים וחרבים, זורחות הנשמות, ואור העבר מתרחב ומוסיף חיים בכל העולם.
שיג	עלינו להעלות את עצמנו, ובכך יתפתח היש כולו וירחיב את גבול הווייתו, וכל העולמות יתעלו.
שיד	המחשבות הבאות מעומק האמונה הנן החופשיות באמת, ומידמות למקור היצירה, שהיא מקור השעשועים.
שטו	צער האנשים הרוחניים מחיי החברה מצחצח את נפשם, והשפעתם עליה חוזרת ומעלה אותם למעלה ממעלת הבדידות.
שטז	מגן עדן מקבלים טל חיים קדושים וטהורים, בלי חומריות ורפיון.
שיז	רזי התורה נתבעים מהדור אשר הוכן אליהם, ומניעתם מביאה לרפיונו, והאִלמות המילולית לא תעצור את גילויים.
שיח	חיסרון באהבת התורה והמצוות יכול לנבוע מתאוות גשמיות, או מהתעלות של ימות המשיח הבאה טרם זמנה.
שיט	ההטבה שצדיק מטיב עם הציבור בהתבודדותו, עדיפה על התחברותו עמם הממעטת את אורו.
שכ	כל עיון נעשה חשוך מהצל של עצמו, וזהו סיגוף שכלי, הבא לשחרר את האדם משעבודו אל השכל האנושי.
שכא	אהבת העמים הבאה מהאפלת אור סגולת ישראל הנה ארסית ומזיקה, והבאה מתוך בהירות הסגולה הנה מידתו של אברהם.
שכב	האומנות החופשית, המשחררת את האומן ממושגיו העצמיים, מטשטשת את סגולותיו ומאבדת את כשרונותיו.
שכג	הדבקות הפנימית בה' אחד אינה נקנית בשכל, אלא רק בשיתוף כל כוחות הנפש, הנקנים על-ידי אמונה וקדושה.
שכד	לפעמים באים מהדר הדמיון אל אמיתת השכל, ולפעמים להפך, ובלבד ששאיפת תהיה להתאחד עם השכל.
שכה	העולם הולך ומתעלה, ומתאחד בחסד עליון שהגבורה תומכת בו, ומשניהם יתעלה העולם ויתמלא חסד.
שכו	תיקון העולם בא מהתאחדות התפארת שבתורה שבכתב, והגבורה המלכותית שבתורה שבעל-פה, ומהשפעתן ההדדית.
שכז	ככל שמתרבים החלקים הרוחניים בציור, במוסר ובהכרה, ובייחוד בהשלמתה של תורה, מתחוורת האמונה ודבקותה.
שכח	התכנים הרוחניים מתגלים תחילה בהפתעה, והתבונה מסדרת אותם, ולכן חכם עדיף מנביא.
שכט	מזהירה היא נשמת העולם, והננו מתנשאים בגאון למרום נשמתה ומתענגים על ה'.
של	כשהדבקות הרצונית, המדעית, הדמיונית והמעשית – מאוחדות, נפתחים צינורות התענוג העליון, וישראל עתידים להאירם לעולם.
שלא	גם לתפילה הרגשית יש ערך, אך התפילה העליונה כוללת את כל כוחות הנפש, וממלאת בעונגהּ את הנשמה ואת העולם.
שלב	אמונת ישראל, ואפילו האפיקורסות שבה, גדולה בפנימיותה מאמונת הגויים.
שלג	כששלהבת אהבת ה' בוערת, אין להיבהל משום חשבון, וצריך להתענג על ה' בכל עוז ולפצוח בשירי זמרה.
שלד	מצווה להתענג מקדושת ארץ ישראל, ולהודיע ליושבי הגלות שצינורות השפע של הארץ נפתחו לקראת בניה השבים מהגולה.
שלה	הגויים טמאו את היהדות רק בחיצוניותה ולא בפנימיותה, והמתקשר באומה, אף שאינו מודע לקדושתה, מתקשר בקודש הקודשים.
שלו	גם למאן דאמר: "מצוות בטלות לעתיד לבוא", תקדם לכך תקופה שבו תתגלינה המצוות בהוד סגולתן ובתפארת החיים שבהן.
שלז	אור התורה נחוץ לקיום חיי האדם עוד יותר ממזונו, ובעלי הסוד אינם יכולים להסתפק בכך, וחייהם תלויים בשפע סתרי תורה.
שלח	ציורי הנשמה של כל אחד, הם ניצוצות המתלכדים יחד לאבוקה להאיר את העולם.
שלט	כשנולד רעיון חדש אצילי, זוהי דפיקת לב של מלאך ה', וככל שנקבלה בחֵירות פנימית, תגדל ההופעה וכשרונה בקרבנו.
שמ	כשהרוח יוצרת, מתגלה בנשמה המלאך היוצר, וכשהיצירה נפסקת מסתלק המלאך, ועל-ידי התורה והעבודה שבים ומתקשרים אליו.
שמא	כשם שהצרות הן מלח העולם, כך יראת העונש היא הבסיס שעליו נבנים בנייני פאר רוחניים.
שמב	הצדיקים הגדולים צריכים שמירה יתירה מן החטא, מפני שאינם מכירים בעומק גנותו, ולכן הם יכולים לדון את העולם לכף זכות.
שמג	הנביאים והכתובים כלולים בתורה, הכלולה בשם "אחד", וכנסת ישראל ששורשה בתורה, יודעת זאת ומידבקת בתורה ובשורשה.
שמד	היצירה האלוהית מחריבה מציאות חסרה (לאומיות הגויים) כדי להחליפה בשלמה, ואילו לאומיות ישראל כבר הגיעה לשלמותה.
שמה	אהבת אומתנו אינה מונעת מאתנו לבקרה, אך גם אחרי הביקורת נקיים הם מכל מום.
שמו	הדמיון הרואה בכל אחד מישראל הופעה אלוהית, הוא תולדת הניצוץ הנבואי, ולכן הסותר לועו של ישראל כסותר לוע השכינה.
שמז	ההבדל בין נשמת ישראל לנשמת העמים גדול מההבדל בין נפש האדם לנפש הבהמה, שכן הוא איכותי ולא כמותי.
שמח	השקפת העולם השלמה שבעתיד, הנה פיתוח של אמונת ישראל שבהווה, שההמון באמונתו הטבעית, ונבוני הלב, טועמים ממנה.
שמט	חירות הנשמה ההוגה באה מִזיקהּ הפנימי, המתלבה מאור התורה הבאה מבחוץ – כל זמן שהיא נותנת לו מקום.
שנ	ידיעת הרע מדביקה את היודע ברעתה, ורק יחידי סגולה מוציאים ממנה טוב, בזהירות רבה.
שנא	כשההכרה והרצון מעורבים זה בזה, הכרת הרע (נגיעה) מביאה לרצון רע (אכילה), ולכן דווקא האישה גרמה לחטא עץ הדעת.
שנב	את האופי העצמי, הפרטי והכללי, אי-אפשר לדעת, וכל המעשים וסיבותיהם הנם השערות איך לכוון אליו.
שנג	אדם צריך להוקיר את שמו הטוב, ואם חושב ששמו למעלה מערכו, יתלה אותו בסגולת נשמתו וישתדל להוציאו אל הפועל.
שנד	סם החיים של ישראל, המשמרם בגלות שלא יכלו ככל העמים, עתיד להאיר לכל העולם.
שנה	יש עבודה זרה המזהמת את האמונה, וישנה המתיימרת להיות רק הנהגה משפטית, ואורו של משיח יגלה שגם משפטי הגויים זקוקים לתורה.
שנו	שנאת העמים לישראל נובעת מתביעתם המוסרית המצרה את הנפש הברברית, אך בעתיד ייוודע לכל שישראל משפיעים עונג.
שנז	התורה היא הברקה תדירית של אותיות הנשמה, והמצוות מגלות את עצמותה הקבועה, וחיבורן מיישב הכל בצורה קבועה ומזהרת.
שנח	איכות השקפת העולם של האדם תלויה במידותיו, ולכן אינו יכול להעריך את הגדולים ממנו, ואת המידות הקטנות בכמות וגדולות באיכות.
שנט	האור שבנשמה, והאור שבתורה, והאור שבידיעת העולם, מתאחדים באדם לשלהבת בעלת גוונים רבים.
שס	חטאים שאין בידו לתקנם – יסיח דעתו מהם.
שסא	המחשבות הצומחות בדרך ישרה הן היסוד להרחבתן השכלית, וישרות זו תלויה במעמדו המוסרי, השכלי והתורני, של האדם.
שסב	לפעמים שנאת חכמות החול נובעת משנאת התורה והחכמה, שהודחקה מפני יראת העונש.
שסג	צריך להתגבר על הפחד והעצבות המתפרצים בזמן העיסוק בעיונים האלוהיים, על-ידי הכרה בשמחה הבאה מכך.
שסד	בארץ ישראל אפשר להשיג את קדושת הגוף הישראלי, שאין צריך להילחם בו, אלא להטעימו מחיי הקודש של הארץ.
שסה	בארץ ישראל מתבטלת הנשמה הפרטית מפני הנשמה הכללית, וזו פועלת גם בלי הכרה בה, אך מתרחבת לפי ההכרה והרצון.
שסו	הפרישות מחיי השעה הנה הנהגה של גלות, ואילו בארץ ישראל בזמן הגאולה – בניין החול מחזק את הקודש.
שסז	הצדיקים מבסמים את כל הנשמות על-ידי התערבותם הסגולית והשכלית עם ישראל ועם כל היצור, על-ידי אווירה של ארץ ישראל.
