א	ההבנה המוסרית בהנהגת העולם, הפנימית והחופשית, גדולה מההבנה הסיבתית, החוקתית והחיצונית, ומחייה אותה.
קפט	אני צריך לדבר הרבה אודות עצמי, שבהבנת עצמי אבין את העולם והחיים.
קצ	מי שיש לו נשמה של יוצר, מוכרח ליצור רעיונות, ולא להיסגר בתלמודו בלבד.
קצא	הצער שמרגישים בעיסוק בקדושה, נובע מהרגשת הנשמה בעת הארתה את אפסותה, ובתשובה מאהבה הוא מתהפך לעונג.
קצב	אין לעצור את הציור המסתורי וההיגיון הסודי, שהוא רז היצירה, אף מפני הקטנות שבאישיות המנסה להתגבר על גדלותה.
קצג	אל אבהל מהמשלים המפחידים שבנסתר, שכן העולם חשוך יותר, ומכאובי הנסתר מעוררים בנו חיי איתנים.
קצד	ההתמדה השטחית עלולה לפגוע במרחב במחשבה, וצריך לגאול את הנשמה ממצר זה.
קצה	דיבורי הגוזמה שלי אינם שקר, אלא חשיפת הגות רוחי, שהיא יצירה כבירת ערך.
קצו	התחלש נפשי מחלישות גופי? הלא מלא חופש אני!
קצז	אש הקודש המתעוררת לעומת כל רעיון של קדושה, היא אור הנשמה, וצריך לשמוח בה ולפתחה.
קצח	לחירות האצילית אין גבול עצמי, אך יש צורך בגבול כדי שהחירות לא תוחלף בחירות מדומה, הנובעת משעבוד לדעות קדומות.
קצט	כשם שהחול קם לתחייה לאחר שמת בגלות, כך מוכרח גם הקודש להתחדש ולהתרענן, ולהשפיע על החול אור וחום.
ר	בישראל, רעננות חומרית, נפשית ורוחנית, מולידות תנאים טובים לחיי קודש בריאים וישרים.
רא	העיסוק בגאולה, וזיכוכו על-ידי המתנגדים אליו, הם עצמם המצוות שבזכותן דורנו ראוי לגאולה.
רב	מהרה יכירו הגויים במרכזיות ישראל בעולם, ובנצחיות אהבת ה' אליהם.
רג	השמאל הוא המעורר, והימין הוא הפועל ובונה, ועליו להעלות את התעוררות השמאל למקום הרחמים והחסד, הגבורה והאמונה.
רד	בושה תכסה את פנינו, כאשר לא נרגיש את אש היראה והאהבה כלפי מקור החיים.
רה	המרכזיות של חינוך הילדים בתרבות, מבליטה ומטביעה בה את חשיבות התמימות על-פני החכמה.
רו	נעימות החיים הבאה על-ידי התשובה, נחשפת על-ידי המרירות שבתחילת צעדיה.
רז	הצדיקים העלונים רואים ברשעה מסך לצמצום האור הגדול, והצדיקים מתקצפים לעומתה, ומשיח ישיבם בתשובה – שיראו גם הם את הצורך ברשעה.
רח	המבקש את ה' תמיד, יידע שצמאונו אינו רק בעבור עצמו, אלא בעבור כל העולם.
רט	אל יצטער גדול המחשבה מחוסר התעניינותו בפרטים מחשבתיים ומוסריים, אך יידע שישנם זמנים של קטנות שבהם יש לאחוז בהם.
רי	כל חידוש בתורה הוא תמצית של עולם שהתחדש, של שמים חדשים או של ארץ חדשה.
ריא	הזוהר המסתיר את האותיות, כולל אותן בתוכו, ובתפילת אמת שואבים מהאור העליון שאינו מסתיר אותן.
ריב	אורו של משיח מהפך את ההוויה לזוהר תורה, ומגלה את הקודש בחול, וצריך לקלוט את כל הזרחותיו.
ריג	כשהאמונה בריאה, האדם נעשה טבעי ומוסרי, ואהבתו לפרטי המצוות, לאומה ולארץ, גדלה.
ריד	הבו אור, קודש, יושר, צדק וחיים הראויים לשמם, לישראל ולעולם!
רטו	בניין הארץ והאומה באים מכוח הערצתם, ולכן תחיית הקודש דרושה לתחיית האומה, וכל תנועות החול יונקות ממנה.
רטז	כשהתפילה הישראלית תשוב אחר היעזבהּ, היא תחזיר את כל העיזבון, וכל העולם ישתומם על הודה.
ריז	העיסוק בפרק שירה הוא עבודה שכלית, הנובעת מחיבור האדם עם המציאות, כהקדמה לעבודת התורה.
ריח	התום והיושר הם יסוד האושר, והענווה תלויה בהם, וביחד הם עושים את החיים לרכוש רוחני אמיץ.
ריט	צפיית הישועה מזככת את החיים ומרחיבה את הדעת ומעדנת את הרוח.
רכ	ההבנה שצער הנשמה בכל צרותיה הוא בעצם צער על אובדן חירותה, היא הפתח לגאולתה, בפרט ובכלל.
רכא	הנשמה יוצרת ושרה באופן תמידי ואינה תלויה בזמנים מיוחדים, וצריך להקשיב לשירתה.
רכב	כל חידוש בתורה צריך להיות אידיאלי, ומבוסס על עומק הישרות, הקודש, ההיגיון, השירה והיופי.
רכג	התפילה היא האידיאל של כל העולמות, והעריגה של כל הברואים למקורם נספגת באדם, והם מתעלים עמו בתפילתו.
